ค่าข้อมูล,_id,ปี,รายการ,หน่วย
400,1,2563, จำนวนต้นทุนการผลิตที่ลดลง ,บาท/ไร่/ปี
500,2,2564, จำนวนต้นทุนการผลิตที่ลดลง ,บาท/ไร่/ปี
1241,3,2565, จำนวนต้นทุนการผลิตที่ลดลง ,บาท/ไร่/ปี
900,4,2566, จำนวนต้นทุนการผลิตที่ลดลง ,บาท/ไร่/ปี
750,5,2567, จำนวนต้นทุนการผลิตที่ลดลง ,บาท/ไร่/ปี
1465,6,2568, จำนวนต้นทุนการผลิตที่ลดลง ,บาท/ไร่/ปี
