ครัวเรือนน้ำท่วม,_id,ปี,หน่วยนับ,อำเภอ
0,1,2564,ครัวเรือน,เมืองนครสวรรค์
0,2,2564,ครัวเรือน,เก้าเลี้ยว
0,3,2564,ครัวเรือน,โกรกพระ
0,4,2564,ครัวเรือน,แม่เปิน
0,5,2564,ครัวเรือน,แม่วงก์
0,6,2564,ครัวเรือน,ไพศาลี
0,7,2564,ครัวเรือน,ชุมแสง
0,8,2564,ครัวเรือน,ชุมตาบง
0,9,2564,ครัวเรือน,ตากฟ้า
0,10,2564,ครัวเรือน,ตาคลี
0,11,2564,ครัวเรือน,ท่าตะโก
0,12,2564,ครัวเรือน,บรรพตพิสัย
0,13,2564,ครัวเรือน,พยุหะคีรี
0,14,2564,ครัวเรือน,ลาดยาว
0,15,2564,ครัวเรือน,หนองบัว
0,16,2565,ครัวเรือน,เมืองนครสวรรค์
0,17,2565,ครัวเรือน,เก้าเลี้ยว
0,18,2565,ครัวเรือน,โกรกพระ
0,19,2565,ครัวเรือน,แม่เปิน
0,20,2565,ครัวเรือน,แม่วงก์
0,21,2565,ครัวเรือน,ไพศาลี
0,22,2565,ครัวเรือน,ชุมแสง
0,23,2565,ครัวเรือน,ชุมตาบง
0,24,2565,ครัวเรือน,ตากฟ้า
0,25,2565,ครัวเรือน,ตาคลี
0,26,2565,ครัวเรือน,ท่าตะโก
0,27,2565,ครัวเรือน,บรรพตพิสัย
0,28,2565,ครัวเรือน,พยุหะคีรี
0,29,2565,ครัวเรือน,ลาดยาว
0,30,2565,ครัวเรือน,หนองบัว
0,31,2566,ครัวเรือน,เมืองนครสวรรค์
0,32,2566,ครัวเรือน,เก้าเลี้ยว
14,33,2566,ครัวเรือน,โกรกพระ
0,34,2566,ครัวเรือน,แม่เปิน
0,35,2566,ครัวเรือน,แม่วงก์
0,36,2566,ครัวเรือน,ไพศาลี
1,37,2566,ครัวเรือน,ชุมแสง
0,38,2566,ครัวเรือน,ชุมตาบง
0,39,2566,ครัวเรือน,ตากฟ้า
0,40,2566,ครัวเรือน,ตาคลี
0,41,2566,ครัวเรือน,ท่าตะโก
0,42,2566,ครัวเรือน,บรรพตพิสัย
2,43,2566,ครัวเรือน,พยุหะคีรี
0,44,2566,ครัวเรือน,ลาดยาว
0,45,2566,ครัวเรือน,หนองบัว
6,46,2567,ครัวเรือน,เมืองนครสวรรค์
0,47,2567,ครัวเรือน,เก้าเลี้ยว
0,48,2567,ครัวเรือน,โกรกพระ
0,49,2567,ครัวเรือน,แม่เปิน
0,50,2567,ครัวเรือน,แม่วงก์
0,51,2567,ครัวเรือน,ไพศาลี
0,52,2567,ครัวเรือน,ชุมแสง
0,53,2567,ครัวเรือน,ชุมตาบง
4,54,2567,ครัวเรือน,ตากฟ้า
0,55,2567,ครัวเรือน,ตาคลี
0,56,2567,ครัวเรือน,ท่าตะโก
0,57,2567,ครัวเรือน,บรรพตพิสัย
1,58,2567,ครัวเรือน,พยุหะคีรี
0,59,2567,ครัวเรือน,ลาดยาว
0,60,2567,ครัวเรือน,หนองบัว
