จำนวน,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
186.0,สำนักงานประกันสังคมจังหวัด,1,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กระบี่,คน
0.0,สำนักงานประกันสังคมจังหวัด,2,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กรุงเทพมหานคร,คน
324.0,สำนักงานประกันสังคมจังหวัด,3,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาญจนบุรี,คน
250.0,สำนักงานประกันสังคมจังหวัด,4,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาฬสินธุ์,คน
463.0,สำนักงานประกันสังคมจังหวัด,5,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กำแพงเพชร,คน
558.0,สำนักงานประกันสังคมจังหวัด,6,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ขอนแก่น,คน
171.0,สำนักงานประกันสังคมจังหวัด,7,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,จันทบุรี,คน
328.0,สำนักงานประกันสังคมจังหวัด,8,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ฉะเชิงเทรา,คน
584.0,สำนักงานประกันสังคมจังหวัด,9,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชลบุรี,คน
228.0,สำนักงานประกันสังคมจังหวัด,10,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยนาท,คน
410.0,สำนักงานประกันสังคมจังหวัด,11,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยภูมิ,คน
166.0,สำนักงานประกันสังคมจังหวัด,12,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชุมพร,คน
385.0,สำนักงานประกันสังคมจังหวัด,13,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงราย,คน
1165.0,สำนักงานประกันสังคมจังหวัด,14,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงใหม่,คน
346.0,สำนักงานประกันสังคมจังหวัด,15,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตรัง,คน
165.0,สำนักงานประกันสังคมจังหวัด,16,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตราด,คน
135.0,สำนักงานประกันสังคมจังหวัด,17,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตาก,คน
102.0,สำนักงานประกันสังคมจังหวัด,18,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครนายก,คน
370.0,สำนักงานประกันสังคมจังหวัด,19,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครปฐม,คน
120.0,สำนักงานประกันสังคมจังหวัด,20,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครพนม,คน
423.0,สำนักงานประกันสังคมจังหวัด,21,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครราชสีมา,คน
411.0,สำนักงานประกันสังคมจังหวัด,22,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครศรีธรรมราช,คน
387.0,สำนักงานประกันสังคมจังหวัด,23,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครสวรรค์,คน
613.0,สำนักงานประกันสังคมจังหวัด,24,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นนทบุรี,คน
121.0,สำนักงานประกันสังคมจังหวัด,25,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นราธิวาส,คน
253.0,สำนักงานประกันสังคมจังหวัด,26,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,น่าน,คน
81.0,สำนักงานประกันสังคมจังหวัด,27,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บึงกาฬ,คน
