_id,ค่าเฉลี่ย,หน่วย,เดือน
1,30.7,บาท,ม.ค.
2,32.63,บาท,ก.พ.
3,36.75,บาท,มี.ค.
4,33.25,บาท,เม.ย.
5,30.63,บาท,พ.ค.
6,30.1,บาท,มิ.ย.
7,29,บาท,ก.ค.
8,29.75,บาท,ส.ค.
9,30,บาท,ก.ย.
10,24.13,บาท,ต.ค.
11,25.25,บาท,พ.ย.
12,22.13,บาท,ธ.ค.
