ประกอบกิจการ,หมู่,ถนน,เงินทุนรวม (ล้านบาท),เลขทะเบียนโรงงาน,FID,_id,แรงม้า,รหัสประเภท,ชื่อโรงงาน,ตำบล,ปีที่อนุญาต,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,จำพวก,คนงานรวม,รหัสไปรษณีย์
ขุดดิน,4,, 3.60 ,จ3-3(2)-55/61ชบ,20200005525615,1, 250.00 ,302,บ่อดิน P.T. ,เกาะจันทร์,61,,เกาะจันทร์,น.ส.3 ก 272,ชลบุรี,บ่อดิน P.T. ,3, 2 ,20240
"ขุดดิน,ขุดทราย",3,-, 17.00 ,จ3-3(2)-45/61ชบ,20200004525616,2, 300.00 ,302,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,เกาะจันทร์,61,-,เกาะจันทร์,115,ชลบุรี,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,3, 4 ,20240
ขุดดิน,3,, 2.70 ,จ3-3(2)-7/57ชบ,20200000725574,3, 590.00 ,302,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,เกาะจันทร์,57,,เกาะจันทร์,น.ส.3 ก เลขที่ 112,ชลบุรี,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,3, 6 ,20240
ขุดดิน ร่อน คัดขนาดทราย,3,, 6.70 ,จ3-3(2)-9/57ชบ,20200000925570,4, 580.00 ,302,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,เกาะจันทร์,57,,เกาะจันทร์,"นส.3ก เลขที่ 110,111",ชลบุรี,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,3, 6 ,20240
ขุดดิน,3,, 1.20 ,จ3-3(2)-8/57ชบ,20200000825572,5, 580.00 ,302,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,เกาะจันทร์,57,,เกาะจันทร์,"นส.3ก เลขที่ 113,114",ชลบุรี,บริษัท เอส เอส การศิลาปรกฟ้า จำกัด,3, 2 ,20240
ร่อน คัดขนาด ทราย,10,, 7.20 ,จ3-3(3)-7/59ชบ,20200000725590,6, 462.00 ,303,ห้างหุ้นส่วนจำกัด โชคอุปถัมภ์,ท่าบุญมี,59,,เกาะจันทร์,โฉนดเลขที่ 32422 เลขที่ 1,ชลบุรี,ห้างหุ้นส่วนจำกัด โชคอุปถัมภ์,3, 6 ,20240
บดหรือป่นเครื่องเทศ ผลิตเครื่องแกง และผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น น้ำพริกปลาสลิด น้ำพริกปลาทู	,10,-, 111.75 ,จ3-6(3)-3/65ชบ,20200205325659,7, 138.81 ,603,บริษัท สุรีรัตน์ จำกัด,ท่าบุญมี,65,-,เกาะจันทร์,160/4,ชลบุรี,บริษัท สุรีรัตน์ จำกัด,3, 86 ,20240
ผลิตน้ำมันพืชจากงา และพืชอื่น ๆ,9,-, 9.00 ,จ3-7(1)-24/49ชบ,20200002425496,8, 226.22 ,701,บริษัท ครอปแลนด์ อุตสาหกรรม จำกัด,ท่าบุญมี,49,-,เกาะจันทร์,1/22,ชลบุรี,บริษัท ครอปแลนด์ อุตสาหกรรม จำกัด,3, 16 ,20240
ผลิตแป้งมันสำปะหลัง,8,, 7.00 ,จ3-9(2)-5/62ชบ,20200208825622,9, 489.00 ,902,ชัยเจริญ,ท่าบุญมี,62,,เกาะจันทร์,88,ชลบุรี,ชัยเจริญ,3, 5 ,20240
ทำโรงงานเม็ดสาคูเพื่อขายให้กับชุมชนเพื่อนำไปผลิตเป็นอาหารหรือขนมขายให้กับนักท่องเที่ยว,1,, 4.18 ,จ3-10(3)-3/61ชบ,20200000325615,10, 135.56 ,1003,โรงงานสาคูกรณิฑัศณ์,เกาะจันทร์,61,,เกาะจันทร์,49/4,ชลบุรี,โรงงานสาคูกรณิฑัศณ์,3, 10 ,20240
ผลิตอาหารสัตว์,7,, 731.00 ,3-15(1)-9/60ชบ,10200000925606,11," 6,415.50 ",1501,บริษัท พนัส ฟีดมิลล์ จำกัด,ท่าบุญมี,60,,เกาะจันทร์,888,ชลบุรี,บริษัท พนัส ฟีดมิลล์ จำกัด,3, 24 ,20240
แปรรูปไม้เพื่อประดิษฐกรรม ไส ซอย ทำวงกบ ประตูหน้าต่าง และเครื่องเรือนเครื่องใช้จากไม้,7,, 21.00 ,จ3-34(1)-6/63ชบ,20200034925638,12, 168.00 ,3401,บริษัท พูลผลทวีพูล จำกัด,ท่าบุญมี,63,,เกาะจันทร์,"โฉนดที่ดินเลขที่ 12380, 8282",ชลบุรี,บริษัท พูลผลทวีพูล จำกัด,3, 10 ,20240
แปรรูปไม้ ทำวงกบประตู หน้าต่าง และทำเครื่องเรือน เช่น เฟอร์นิเจอร์จากไม้,12,, 3.60 ,จ3-34(1)-46/50ชบ,20200004625507,13, 298.14 ,3401,,เกาะจันทร์,50,,เกาะจันทร์,245,ชลบุรี,นางสุทธิรา สุดถิน,3, 13 ,20240
แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี ผลิตไม้วีเนียร์หรือไม้แผ่นบาง และไม้อัด เพื่อจำหน่าย,12,, 310.00 ,3-34(1)-1/68ชบ,10200011025685,14," 2,284.47 ",3401,บริษัท หยวนฉวน วู้ด อินดัสทรี จำกัด,ท่าบุญมี,68,,เกาะจันทร์,111/1,ชลบุรี,บริษัท หยวนฉวน วู้ด อินดัสทรี จำกัด,3, 105 ,20240
ทำวงกบ ประตู หน้าต่างจากไม้แปรรูป,2,สาย 331, 4.80 ,จ3-34(2)-2/44ชบ,20200200225441,15, 96.50 ,3402,,ท่าบุญมี,44,,เกาะจันทร์,37/4,ชลบุรี,นางสาวนิรมล ทวีวัฒนานนท์,3, 6 ,20240
ผลิตชิ้นไม้สับจากไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,12,-, 95.00 ,3-34(4)-28/53ชบ,10200002825531,16, 447.50 ,3404, บริษัท ชัยโย ไบโอฟูเอล จำกัด,เกาะจันทร์,53,-,เกาะจันทร์,243,ชลบุรี, บริษัท ชัยโย ไบโอฟูเอล จำกัด,3, 37 ,20240
ผลิตเชื้อเพลิงแข็งอัดเม็ด (wood pellet),1,, 39.99 ,จ3-34(4)-30/58ชบ,20200003025584,17, 475.89 ,3404,บริษัท กรีน เอ็นเนอร์ยี่ เทรดดิ้ง จำกัด,ท่าบุญมี,58,,เกาะจันทร์,108,ชลบุรี,บริษัท กรีน เอ็นเนอร์ยี่ เทรดดิ้ง จำกัด,3, 9 ,20240
ผลิตก้อนชีวมวลสำหรับใช้ในฟาร์ม และเชื้อเพลิงอัดก้อน/แท่ง,1,, 47.00 ,จ3-34(4)-11/62ชบ,20200086925627,18, 105.00 ,3404,บริษัท ไบแทค จำกัด,ท่าบุญมี,62,,เกาะจันทร์,108,ชลบุรี,บริษัท ไบแทค จำกัด,3, 11 ,20240
อบไม้และอัดน้ำยาไม้,7,, 11.30 ,จ3-34(5)-3/56ชบ,20200100325564,19, 153.00 ,3405,บริษัท เดอะโอเชี่ยนวู้ด จำกัด,ท่าบุญมี,56,,เกาะจันทร์,142/3,ชลบุรี,บริษัท เดอะโอเชี่ยนวู้ด จำกัด,3, 10 ,20240
ผลิตไม้พาเลท,7,, 30.00 ,จ3-36(1)-16/59ชบ,20200001625591,20, 187.00 ,3601,ห้างหุ้นส่วนจำกัด จงเทพ แอนด์ บิวดิ้ง,ท่าบุญมี,59,,เกาะจันทร์,142/3,ชลบุรี,ห้างหุ้นส่วนจำกัด จงเทพ แอนด์ บิวดิ้ง,3, 30 ,20240
ทำแผ่นรองรับสินค้าจากไม้ ทำลังไม้และอบไม้,2,331, 7.15 ,จ3-36(1)-8/54ชบ,20200000825549,21, 80.50 ,3601,ห้างหุ้นส่วนจำกัด อุดม สุริยะ แอนด์ พาร์เลท,ท่าบุญมี,54,,เกาะจันทร์,195,ชลบุรี,ห้างหุ้นส่วนจำกัด อุดม สุริยะ แอนด์ พาร์เลท,3, 11 ,20240
