_id,รายชื่อสถานประกอบการ,ระดับ,ปีงบประมาณ
1,บริษัท ลิลลี่ โทเบก้า จำกัด,1,2565
2,บริษัท จุน จี่ อินดัสเทรียล จำกัด,1,2565
3,บริษัท มิยามะ อินดัสตรี้ (ประเทศไทย) จำกัด,1,2565
4,บริษัท วายเอฟ เทคโนโลยี คอร์ปอเรชั่น (ประเทศไทย) จำกัด,1,2565
5,บริษัท ชิน ยอง ไทยเอ็นจิเนียริ่ง จำกัด,1,2565
6,บริษัท วาซิน เทค จำกัด,1,2565
7,บริษัท โบอิน อุตสาหกรรม จำกัด,1,2565
8,บริษัท สามเจริญพาเลต จำกัด,1,2565
9,บริษัท คิวมิกซ์ซัพพลาย จำกัด,1,2565
10,บริษัท คิวมิกซ์ซัพพลาย จำกัด,1,2565
11,บริษัท คิวมิกซ์ซัพพลาย จำกัด สาขาพานทอง,1,2565
12,บริษัท คิโต้ ฮอยซ์ ไทย จำกัด,1,2565
13,บริษัท ชัยแสงเพชร เอ็นจิเนียริ่ง จำกัด,1,2565
14,บริษัท จุนโม๋ พรีซิชั่น อินดัสทรี (ไทยแลนด์) จำกัด,1,2565
15,บริษัท เบ็นเทคเคมีคัล จำกัด,1,2565
16,บริษัท อมตะ เวสท์ รีไซเคิล จำกัด,1,2565
17,บริษัท จัวปภารีไซเคิลสหรุ่งเรือง จำกัด,1,2565
18,บริษัท จัวปภารีไซเคิลสหรุ่งเรือง จำกัด,1,2565
19,บริษัท พีพีพี โมลดิ้ง โฟม จำกัด,1,2565
20,บริษัท ฮิวแมน อีเล็คโทรนิค (ไทยแลนด์) จำกัด,1,2565
21,บริษัท จัวปภารีไซเคิลสหรุ่งเรือง จำกัด,1,2565
22,บริษัท เอส เค แอนด์ เค เพลตติ้ง จำกัด,1,2565
23,บริษัท โกเทค เอ็นจิเนียริ่ง จำกัด,1,2565
24,บริษัท เอส เค แอนด์ เค เทคโนโลยี จำกัด,1,2565
25,บริษัท ไทยเจริญพัฒนาการพิมพ์ จำกัด,1,2565
26,บริษัท ไทยเจริญพัฒนาการพิมพ์ จำกัด,1,2565
27,บริษัท ไทยเจริญพัฒนาการพิมพ์ จำกัด,1,2565
28,บริษัท ไทยเจริญพัฒนาการพิมพ์ จำกัด,1,2565
29,บริษัท เทคโคส เอ็นจิเนียริ่ง จำกัด,1,2565
30,บริษัท เอส.ซี.เค.พาล์เลท จำกัด,1,2565
31,บริษัท ป๊อปปูล่า อินเตอร์พลาส จำกัด,1,2565
32,ห้างหุ้นส่วนจำกัด ย่งน่ำเฮง ชลบุรี,1,2565
33,บริษัท นิคมไฮโดรลิค จำกัด,1,2565
34,บริษัท มงคล คอนสตรัคชั่น จำกัด,1,2565
35,บริษัท ไทยออยล์ จำกัด (มหาชน),1,2565
36,บริษัท พณิชชา กรุ๊ป (2006) จำกัด,1,2565
37,บริษัท โกคูแพ็ค จำกัด,1,2565
38,บริษัท นพรุจ รีไซเคิล จำกัด,1,2565
39,ห้างหุ้นส่วนจำกัด กัญญาวีร์ คอนสตรัคชั่น,1,2565
40,บริษัท ทีโอวาย ชลบุรี รีไซเคิล จำกัด,1,2565
41,บริหารเทรดดิ้ง,1,2565
42,บริหารเทรดดิ้ง,1,2565
43,บริษัท ซุน คอนสตรัคชั่น แอนด์ เอ็นจิเนียริ่ง จำกัด,1,2565
44,บริษัท ฟงไข่ อิเล็กทรอนิกส์ เทคโนโลยี (ประเทศไทย) จำกัด,1,2565
45,บริษัท เจแอนด์ไอ ไทย จำกัด,1,2565
46,บริษัท ไทย ฟู้ดส์ สไวน อินเตอร์เนชั่นแนล จำกัด,1,2565
47,บริษัท มิราเคิล อินเตอร์เทรด จำกัด,1,2565
48,บริษัท แด-เอ อีเลคโทรนิคส์ (ประเทศไทย) จำกัด,1,2565
49,บริษัท สิราพรรณ์ สมุนไพร 2021 จำกัด,1,2565
50,บริษัท เอฟ.โอ. เทคโนโลยี แมททีเรียลส์ จำกัด,1,2565
51,บริษัท ซูมิโช โกลบอล โลจิสติคส์ (ประเทศไทย) จำกัด,1,2565
52,ห้างหุ้นส่วนจำกัด พี.เค.ไอ อินเตอร์ไลท์,1,2565
53,บริษัท นิตโต-เฟรชโก ไบโอฟูเอล จำกัด,1,2565
54,บริษัท ไทย ลิโปร จำกัด,1,2565
55,บริษัท พนัสโภคภัณฑ์ จำกัด,1,2565
56,บริษัท เซินฮู จำกัด,1,2565
57,บริษัท อภิวัฒน์ ออยล์ จำกัด,1,2565
58,บริษัท โบอิน อุตสาหกรรม จำกัด,1,2565
59,วงษ์พาณิชย์ สาขาตำบลดอนหัวฬ่อ,1,2565
60,ห้างหุ้นส่วนจำกัด ทรัพยา เซอร์วิส,1,2565
61,บริษัท ปิ่นทอง พรีซิชั่น จำกัด,1,2565
62,บริษัท คอมพลีท ลิงค์ เทรดดิ้ง จำกัด,1,2565
63,บริษัท ซันโกร ดีเวลลอปเปอร์ส (ประเทศไทย) จำกัด,1,2565
64,บริษัท ดาวินชี่ ไทย จำกัด,1,2565
65,บริษัท เอเค รีไซลิ่ง จำกัด,1,2565
66,บริษัท ฮอนโบ ไทย จำกัด,1,2565
67,บริษัท พีทีแอนด์เอ็นพี รีไซเคิล จำกัด,1,2565
68,บริษัท เซ็นทรัล เพลทติ้ง อินดัสตรี จำกัด,1,2565
69,บริษัท เท่ กิยอง อินดัสทรี (ประเทศไทย) จำกัด,1,2565
70,บริษัท โชคธนกุล จำกัด,1,2565
71,บริษัท ไฮโรพ (ประเทศไทย) จำกัด,1,2565
72,บริษัท เคอหลง ทูลส์ (ไทยแลนด์) จำกัด,1,2565
73,บริษัท เหิง ฮุย วู้ด จำกัด,1,2565
74,บริษัท ซัมอิล เทคโนโลยี (ไทยแลนด์) จำกัด,1,2565
75,บริษัท ราชาเมทัลชีท จำกัด,1,2565
76,โรงน้ำแข็ง บ่อวินกิจวารี,1,2565
77,บริษัท ฉางซุ่น จำกัด,1,2565
78,ห้างหุ้นส่วนจำกัด ชวนชม โฟรเซ่นฟู๊ดส์,1,2565
79,บริษัท ซุง เปา เฮา (ประเทศไทย) จำกัด,1,2565
80,ห้างหุ้นส่วนจำกัด ซี.เอ.ศูนย์ซ่อมรถยนต์,1,2565
81,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),1,2565
82,บริษัท ไท้เหม่ย สโตน จำกัด,1,2565
83,บริษัท เจวาย แพ็คกิ้ง จำกัด,1,2565
84,บริษัท อิมแพค โซล่าร์จำกัด ติดตั้งบนหลังคาบริษัท เฟิสท์ยูไนเต็ดอินดัสตรี จำกัด อาคาร FUI 6,1,2565
85,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
86,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
87,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
88,บริษัท จิราวุฒิ คอนสตรั๊คชั่น จำกัด,1,2565
89,บริษัท ทีเอฟแอล อินดัสทรี จำกัด,1,2565
90,บริษัท อิมแพคท์ โซล่าร์ กรุ๊ป (ประเทศไทย) จำกัด,1,2565
91,บริษัท ทีเคซี โกลบอล จำกัด,1,2565
92,บริษัท นำยาง จำกัด,1,2565
93,บริษัท ท็อป ออฟ พลาสติก จำกัด,1,2565
94,บริษัท เอเอ็นอาร์โร อินดัสทรี จำกัด,1,2565
95,บริษัท เรียล โซลูพลัส จำกัด,1,2565
96,บริษัท เอจีที เทคโนโลยี คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,1,2565
