_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ประกอบกิจการ,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,เงินลงทุนรวม,TSIC,รหัสประเภท
1,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด เดอะมอส ไอเดีย แอนด์ ดราก้อน,กิจการนำเข้ากระเทียมและผลผลิตทางการเกษตรมาเป็นวัตถุดิบและแปรรูปเพื่อส่งออกไปจำหน่ายยังต่างประเทศ,2563,คำอาฮวน,เมืองมุกดาหาร," 36,000,000 ",1630,201
2,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท โรงสีมุกธัญญา จำกัด,อบข้าวเปลือก,2559,มุกดาหาร,เมืองมุกดาหาร," 34,000,000 ",1630,201
3,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด สมบูรณ์ธารา,โรงโม่ บด หรือย่อยหิน,2565,มุกดาหาร,เมืองมุกดาหาร," 65,500,000 ",23961,301
4,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ดงหลวงทรัพย์วังทอง จำกัด,โรงงานโม่ บด หรือย่อยหิน,2556,หว้านใหญ่,หว้านใหญ่," 8,000,000 ",23961,301
5,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,นายเบ็อเด้น ใจสุข,ขุดตักดิน,2558,นาสีนวน,เมืองมุกดาหาร," 1,143,200 ",8103,302
6,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท หินสวย ทรายงาม จำกัด,ดูดทรายและกรวด,2561,โพธิ์ไทร,ดอนตาล," 2,500,000 ",8103,304
7,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ท่าทรายทรัพย์ทรายทอง 2001,ดูดทราย,2565,นาสีนวน,เมืองมุกดาหาร," 5,000,000 ",8103,304
8,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ป.มุกดาหาร,ดูดทรายและกรวด,2561,บางทรายน้อย,หว้านใหญ่," 2,500,000 ",8103,304
9,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด เอ พี แมชชีนเนอรี่ คอนสตรั๊คชั่น,ดูดทรายและกรวด,2561,บางทรายน้อย,หว้านใหญ่," 2,500,000 ",8103,304
10,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ท่าทรายศรีเผย มุกดาหาร,ดูดทราย ใบอนุญาตใช้เรือเลขที่ 4049 01016,2556,บางทรายน้อย,หว้านใหญ่," 1,000,000 ",8103,304
