_id,ปี,หน่วยนับ,อำเภอ,กำลังเครื่องจักร
1,2562,แรงม้า,เมืองนครสวรรค์,3366700000
2,2562,แรงม้า,เก้าเลี้ยว,0
3,2562,แรงม้า,โกรกพระ,0
4,2562,แรงม้า,แม่เปิน,20950000
5,2562,แรงม้า,แม่วงก์,61870000
6,2562,แรงม้า,ไพศาลี,239421000
7,2562,แรงม้า,ชุมแสง,27730000
8,2562,แรงม้า,ชุมตาบง,5800000
9,2562,แรงม้า,ตากฟ้า,210450000
10,2562,แรงม้า,ตาคลี,17644662000
11,2562,แรงม้า,ท่าตะโก,24110000
12,2562,แรงม้า,บรรพตพิสัย,34000000
13,2562,แรงม้า,พยุหะคีรี,0
14,2562,แรงม้า,ลาดยาว,110555036
15,2562,แรงม้า,หนองบัว,14793168000
16,2563,แรงม้า,เมืองนครสวรรค์,3366700000
17,2563,แรงม้า,เก้าเลี้ยว,0
18,2563,แรงม้า,โกรกพระ,0
19,2563,แรงม้า,แม่เปิน,20950000
20,2563,แรงม้า,แม่วงก์,67870000
21,2563,แรงม้า,ไพศาลี,239421000
22,2563,แรงม้า,ชุมแสง,27730000
23,2563,แรงม้า,ชุมตาบง,5800000
24,2563,แรงม้า,ตากฟ้า,210450000
25,2563,แรงม้า,ตาคลี,18914662000
26,2563,แรงม้า,ท่าตะโก,27110000
27,2563,แรงม้า,บรรพตพิสัย,34000000
28,2563,แรงม้า,พยุหะคีรี,0
29,2563,แรงม้า,ลาดยาว,110555036
30,2563,แรงม้า,หนองบัว,14793168000
31,2564,แรงม้า,เมืองนครสวรรค์,3367185000
32,2564,แรงม้า,เก้าเลี้ยว,0
33,2564,แรงม้า,โกรกพระ,0
34,2564,แรงม้า,แม่เปิน,20950000
35,2564,แรงม้า,แม่วงก์,67870000
36,2564,แรงม้า,ไพศาลี,239421000
37,2564,แรงม้า,ชุมแสง,27730000
38,2564,แรงม้า,ชุมตาบง,5800000
39,2564,แรงม้า,ตากฟ้า,210450000
40,2564,แรงม้า,ตาคลี,18914662000
41,2564,แรงม้า,ท่าตะโก,27110000
42,2564,แรงม้า,บรรพตพิสัย,34000000
43,2564,แรงม้า,พยุหะคีรี,0
44,2564,แรงม้า,ลาดยาว,110555036
45,2564,แรงม้า,หนองบัว,14793168000
46,2565,แรงม้า,เมืองนครสวรรค์,3367185000
47,2565,แรงม้า,เก้าเลี้ยว,0
48,2565,แรงม้า,โกรกพระ,0
49,2565,แรงม้า,แม่เปิน,20950000
50,2565,แรงม้า,แม่วงก์,67870000
51,2565,แรงม้า,ไพศาลี,239421000
52,2565,แรงม้า,ชุมแสง,27730000
53,2565,แรงม้า,ชุมตาบง,5800000
54,2565,แรงม้า,ตากฟ้า,210450000
55,2565,แรงม้า,ตาคลี,39011130000
56,2565,แรงม้า,ท่าตะโก,27110000
57,2565,แรงม้า,บรรพตพิสัย,34000000
58,2565,แรงม้า,พยุหะคีรี,0
59,2565,แรงม้า,ลาดยาว,110555036
60,2565,แรงม้า,หนองบัว,14793168000
61,2566,แรงม้า,เมืองนครสวรรค์,3367185000
62,2566,แรงม้า,เก้าเลี้ยว,0
63,2566,แรงม้า,โกรกพระ,0
64,2566,แรงม้า,แม่เปิน,20950000
65,2566,แรงม้า,แม่วงก์,67870000
66,2566,แรงม้า,ไพศาลี,239421000
67,2566,แรงม้า,ชุมแสง,27730000
68,2566,แรงม้า,ชุมตาบง,5800000
69,2566,แรงม้า,ตากฟ้า,210450000
70,2566,แรงม้า,ตาคลี,39919780000
71,2566,แรงม้า,ท่าตะโก,27110000
72,2566,แรงม้า,บรรพตพิสัย,34000000
73,2566,แรงม้า,พยุหะคีรี,0
74,2566,แรงม้า,ลาดยาว,110555036
75,2566,แรงม้า,หนองบัว,15287868000
76,2567,แรงม้า,เมืองนครสวรรค์,3367185000
77,2567,แรงม้า,เก้าเลี้ยว,180000000
78,2567,แรงม้า,โกรกพระ,0
79,2567,แรงม้า,แม่เปิน,20950000
80,2567,แรงม้า,แม่วงก์,67870000
81,2567,แรงม้า,ไพศาลี,239421000
82,2567,แรงม้า,ชุมแสง,27730000
83,2567,แรงม้า,ชุมตาบง,5800000
84,2567,แรงม้า,ตากฟ้า,210450000
85,2567,แรงม้า,ตาคลี,39919780000
86,2567,แรงม้า,ท่าตะโก,27110000
87,2567,แรงม้า,บรรพตพิสัย,34000000
88,2567,แรงม้า,พยุหะคีรี,0
89,2567,แรงม้า,ลาดยาว,110555036
90,2567,แรงม้า,หนองบัว,15287868000
