_id,พ.ศ.,จำนวน,หน่วยวัด,ประเภท
1,2557,14639.15,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
2,2558,13129.4,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
3,2559,15204.04,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
4,2560,12845,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
5,2561,9744.47,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
6,2562,8800.79,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
7,2563,13869.91,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
8,2564,20773,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
9,2565,30361.5,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
10,2566,17528,บาท/ไร่,รายได้เฉลี่ยของเกษตรกรผู้ปลูกปาล์มน้ำมัน (ภาคใต้)
11,2557,14633.58,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
12,2558,12883.52,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
13,2559,15202,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
14,2560,12845.02,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
15,2561,9744.47,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
16,2562,8800.79,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
17,2563,13869.91,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
18,2564,21026.16,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
19,2565,30166.5,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
20,2566,17528,บาท/ไร่,รายได้เฉลี่ยเบื้องต้นยังไม่หักค่าใช้จ่าย 
