เดือน,_id,ปี,การบริหารราชการ,หน่วย
มกราคม,1,2568," 1,142.03 ",ล้านบาท
กุมภาพันธ์,2,2568," 1,108.47 ",ล้านบาท
มีนาคม,3,2568," 1,111.02 ",ล้านบาท
เมษายน,4,2568," 1,114.97 ",ล้านบาท
พฤษภาคม,5,2568," 1,123.88 ",ล้านบาท
มิถุนายน,6,2568," 1,134.45 ",ล้านบาท
กรกฎาคม,7,2568," 1,150.92 ",ล้านบาท
สิงหาคม,8,2568," 1,132.96 ",ล้านบาท
กันยายน,9,2568," 1,152.81 ",ล้านบาท
ตุลาคม,10,2568," 1,604.02 ",ล้านบาท
พฤศจิกายน,11,2568," 1,537.82 ",ล้านบาท
ธันวาคม,12,2568," 1,563.73 ",ล้านบาท
