เดือน,จำนวน,ประเภท_พรบ,_id,ปี
มกราคม,8644,ตามพรบ.ขนส่ง,1,2564
กุมภาพันธ์,8666,ตามพรบ.ขนส่ง,2,2564
มีนาคม,8698,ตามพรบ.ขนส่ง,3,2564
เมษายน,8718,ตามพรบ.ขนส่ง,4,2564
พฤษภาคม,8739,ตามพรบ.ขนส่ง,5,2564
มิถุนายน,8762,ตามพรบ.ขนส่ง,6,2564
กรกฎาคม,8787,ตามพรบ.ขนส่ง,7,2564
สิงหาคม,8803,ตามพรบ.ขนส่ง,8,2564
กันยายน,8830,ตามพรบ.ขนส่ง,9,2564
ตุลาคม,8845,ตามพรบ.ขนส่ง,10,2564
พฤศจิกายน,8861,ตามพรบ.ขนส่ง,11,2564
ธันวาคม,8872,ตามพรบ.ขนส่ง,12,2564
มกราคม,8896,ตามพรบ.ขนส่ง,13,2565
กุมภาพันธ์,8937,ตามพรบ.ขนส่ง,14,2565
มีนาคม,8959,ตามพรบ.ขนส่ง,15,2565
เมษายน,8984,ตามพรบ.ขนส่ง,16,2565
พฤษภาคม,9010,ตามพรบ.ขนส่ง,17,2565
มิถุนายน,9039,ตามพรบ.ขนส่ง,18,2565
กรกฎาคม,9058,ตามพรบ.ขนส่ง,19,2565
สิงหาคม,9087,ตามพรบ.ขนส่ง,20,2565
กันยายน,9097,ตามพรบ.ขนส่ง,21,2565
ตุลาคม,9115,ตามพรบ.ขนส่ง,22,2565
พฤศจิกายน,9149,ตามพรบ.ขนส่ง,23,2565
ธันวาคม,9161,ตามพรบ.ขนส่ง,24,2565
มกราคม,9183,ตามพรบ.ขนส่ง,25,2566
กุมภาพันธ์,9208,ตามพรบ.ขนส่ง,26,2566
มีนาคม,9235,ตามพรบ.ขนส่ง,27,2566
เมษายน,9246,ตามพรบ.ขนส่ง,28,2566
พฤษภาคม,9277,ตามพรบ.ขนส่ง,29,2566
มิถุนายน,9308,ตามพรบ.ขนส่ง,30,2566
กรกฎาคม,9331,ตามพรบ.ขนส่ง,31,2566
สิงหาคม,9351,ตามพรบ.ขนส่ง,32,2566
กันยายน,9358,ตามพรบ.ขนส่ง,33,2566
ตุลาคม,9369,ตามพรบ.ขนส่ง,34,2566
พฤศจิกายน,9387,ตามพรบ.ขนส่ง,35,2566
ธันวาคม,9397,ตามพรบ.ขนส่ง,36,2566
มกราคม,9399,ตามพรบ.ขนส่ง,37,2567
กุมภาพันธ์,9414,ตามพรบ.ขนส่ง,38,2567
มีนาคม,9422,ตามพรบ.ขนส่ง,39,2567
เมษายน,9446,ตามพรบ.ขนส่ง,40,2567
พฤษภาคม,9456,ตามพรบ.ขนส่ง,41,2567
มิถุนายน,9468,ตามพรบ.ขนส่ง,42,2567
