31ธค.64,31ธค.62,_id,ลักษณะรถ(คัน),31ธค.65,31ธค.63,31ธค.66
484,549,1,โดยสารประจำทาง,459,523,392
182,254,2,โดยสารไม่ประจำทาง,173,206,167
326,299,3,โดยสารส่วนบุคคล,338,318,355
1942,1494,4,บรรทุกไม่ประจำทาง,2154,1755,2316
12213,11874,5,บรรทุกส่วนบุคคล,12288,11866,12284
8,8,6,รถขนาดเล็ก,8,8,8
