เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
พฤศจิกายน,34608,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,1407,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
พฤศจิกายน,8020,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
พฤศจิกายน,2,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
พฤศจิกายน,234,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,22,6,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
พฤศจิกายน,5,7,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
พฤศจิกายน,29,8,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
พฤศจิกายน,153740,9,2567,รย. 12 รถจักรยานยนต์,รถยนต์
พฤศจิกายน,4279,10,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
พฤศจิกายน,55,11,2567,รย. 14 รถบดถนน,รถยนต์
พฤศจิกายน,18,12,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
พฤศจิกายน,81,13,2567,รย. 16 รถพ่วง,รถยนต์
พฤศจิกายน,102,14,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
พฤศจิกายน,62,15,2567,รถโดยสารประจำทาง,รถขนส่ง
พฤศจิกายน,402,16,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,33,17,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
พฤศจิกายน,2139,18,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,2578,19,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
