กิจกรรมทางเศรษฐกิจ,_id,ปี,รวม (คน),ไตรมาส,หญิง (คน),ชาย (คน)
ที่พักและการบริการด้านอาหาร,1,2564,29352,ไตรมาส 1,18076,11275
ที่พักและการบริการด้านอาหาร,2,2564,36498,ไตรมาส 2,22391,14107
ที่พักและการบริการด้านอาหาร,3,2564,28169,ไตรมาส 3,19554,8615
ที่พักและการบริการด้านอาหาร,4,2564,27940,ไตรมาส 4,20105,7836
ที่พักและการบริการด้านอาหาร,5,2565,19618,ไตรมาส 1,13588,6030
ที่พักและการบริการด้านอาหาร,6,2565,30120,ไตรมาส 2,21526,8594
ที่พักและการบริการด้านอาหาร,7,2565,28532,ไตรมาส 3,18860,9673
ที่พักและการบริการด้านอาหาร,8,2565,28596,ไตรมาส 4,16897,11700
ที่พักและการบริการด้านอาหาร,9,2566,26123,ไตรมาส 1,16882,9241
ที่พักและการบริการด้านอาหาร,10,2566,30832,ไตรมาส 2,19892,10940
ที่พักและการบริการด้านอาหาร,11,2566,29843,ไตรมาส 3,17261,12582
ที่พักและการบริการด้านอาหาร,12,2566,32466,ไตรมาส 4,23350,9116
ที่พักและการบริการด้านอาหาร,13,2567,28477,ไตรมาส 1,19810,8666
ที่พักและการบริการด้านอาหาร,14,2567,35323,ไตรมาส 2,24804,10519
ที่พักและการบริการด้านอาหาร,15,2567,35624,ไตรมาส 3,25610,10014
ที่พักและการบริการด้านอาหาร,16,2567,35681,ไตรมาส 4,25591,10090
ที่พักและการบริการด้านอาหาร,17,2568,24301,ไตรมาส 1,17933,6368
ที่พักและการบริการด้านอาหาร,18,2568,28950,ไตรมาส 2,19386,9564
ที่พักและการบริการด้านอาหาร,19,2568,32495,ไตรมาส 3,22118,10377
ที่พักและการบริการด้านอาหาร,20,2568,24993,ไตรมาส 4,16957,8037
