_id,ปี,ผู้ประกอบการ,หน่วย
1,2557,12,ราย
2,2558,12,ราย
3,2559,12,ราย
4,2560,12,ราย
5,2561,63,ราย
6,2562,449,ราย
7,2563,476,ราย
8,2564,520,ราย
9,2565,560,ราย
10,2566,61,ราย
11,2567,475,ราย
12,2568,675,ราย
