id,ข้าวนาปี,กล้วยน้ำว้า,_id,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ
1," 75,236 ", 715 ,1, 2 , 21 ," 1,302.83 ",เมืองตาก
2," 23,192 ", 119 ,2, 32 , 28 , 716.42 ,บ้านตาก
3," 17,702 ", 83 ,3," 1,042 ", 9 ," 3,115.94 ",สามเงา
4," 58,486 ", 430 ,4, 3 , 10 , 28.50 ,แม่ระมาด
5," 69,317 ", 670 ,5, 98 , 128 , 112.38 ,ท่าสองยาง
6," 51,511 ", 497 ,6, 44 , 405 , 64.74 ,แม่สอด
7," 14,096 ", 691 ,7, 267 , 741 , 60.20 ,พบพระ
8," 35,400 "," 1,044 ",8, -   , 25 , 11.25 ,อุ้มผาง
9," 13,906 ", 477 ,9, 73 , 18 ," 12,228.16 ",วังเจ้า
," 358,846 "," 4,725 ",10," 1,559 "," 1,385 "," 17,640.41 ",รวม
