เดือน,เมียนมา,ลาว,_id,ปี,เวียดนาม,แรงงานต่างด้าว,กัมพูชา
มกราคม,"16,478","5,896",1,2569,83,"28,863","6,406"
กุมภาพันธ์,"15,446","4,640",2,2569,47,"25,847","5,714"
มีนาคม,"15,359","4,572",3,2569,47,"25,597","5,619"
เมษายน ,"24,144","4,458",4,2569,47,"32,665","4,016"
พฤษภาคม,"24,144","4,458",5,2569,47,"32,665","4,016"
