﻿year,quarter,industry,_id,region,value,unit,source
2558,ไตรมาสที่ 2,การก่อสร้าง,14,ภาคใต้,297.64,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,กิจกรรมขององค์การระหว่างประเทศ,15,ภาคเหนือ,1.04,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,กิจกรรมอสังหาริมทรัพย์,16,ภาคกลาง,69.03,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,17,กรุงเทพมหานคร,23.54,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ศิลปะ ความบันเทิง และนันทนาการ,18,ภาคตะวันออกเฉียงเหนือ,61.43,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,กิจกรรมอสังหาริมทรัพย์,19,ภาคเหนือ,14.93,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,การทำเหมืองแร่ และเหมืองหิน,20,ภาคกลาง,20.37,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,การศึกษา,21,ภาคใต้,165.04,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,การขนส่ง และสถานที่เก็บสินค้า,22,ภาคตะวันออกเฉียงเหนือ,111.19,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ไม่ทราบ,23,ภาคกลาง,4.2,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,24,กรุงเทพมหานคร,181.0,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,การก่อสร้าง,25,ภาคใต้,274.8,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,กิจกรรมขององค์การระหว่างประเทศ,26,ภาคเหนือ,1.5,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,กิจกรรมอสังหาริมทรัพย์,27,ภาคกลาง,68.6,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,28,กรุงเทพมหานคร,13.26,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ศิลปะ ความบันเทิง และนันทนาการ,29,ภาคตะวันออกเฉียงเหนือ,62.19,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,กิจกรรมอสังหาริมทรัพย์,30,ภาคเหนือ,8.93,พันคน,สำนักงานสถิติแห่งชาติ
