province,work_status,sex,quarter,_id,year,value,attribute,unit,source
กรุงเทพมหานคร,ลูกจ้างเอกชน,รวม,ไตรมาสที่ 3,46,2566,3427287,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,รวม,ไตรมาสที่ 3,47,2566,1271356,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาสที่ 3,48,2566,293147,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,รวม,ไตรมาสที่ 3,49,2566,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,ชาย,ไตรมาสที่ 3,50,2566,2933595,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,ชาย,ไตรมาสที่ 3,51,2566,114939,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,ชาย,ไตรมาสที่ 3,52,2566,243333,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,ชาย,ไตรมาสที่ 3,53,2566,1699556,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,ชาย,ไตรมาสที่ 3,54,2566,768766,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,ชาย,ไตรมาสที่ 3,55,2566,107001,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,ชาย,ไตรมาสที่ 3,56,2566,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,หญิง,ไตรมาสที่ 3,57,2566,2718663,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,หญิง,ไตรมาสที่ 3,58,2566,57809,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,หญิง,ไตรมาสที่ 3,59,2566,244386,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,หญิง,ไตรมาสที่ 3,60,2566,1727731,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,หญิง,ไตรมาสที่ 3,61,2566,502590,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,หญิง,ไตรมาสที่ 3,62,2566,186146,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,หญิง,ไตรมาสที่ 3,63,2566,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,รวม,ไตรมาสที่ 4,64,2566,5721180,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,รวม,ไตรมาสที่ 4,65,2566,184451,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,รวม,ไตรมาสที่ 4,66,2566,510572,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,รวม,ไตรมาสที่ 4,67,2566,3485348,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,รวม,ไตรมาสที่ 4,68,2566,1255042,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาสที่ 4,69,2566,284611,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,รวม,ไตรมาสที่ 4,70,2566,1156,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,ชาย,ไตรมาสที่ 4,71,2566,2967774,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,ชาย,ไตรมาสที่ 4,72,2566,136339,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,ชาย,ไตรมาสที่ 4,73,2566,256748,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,ชาย,ไตรมาสที่ 4,74,2566,1720402,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,ชาย,ไตรมาสที่ 4,75,2566,751741,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,ชาย,ไตรมาสที่ 4,76,2566,102544,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,ชาย,ไตรมาสที่ 4,77,2566,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,หญิง,ไตรมาสที่ 4,78,2566,2753405,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,หญิง,ไตรมาสที่ 4,79,2566,48112,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,หญิง,ไตรมาสที่ 4,80,2566,253824,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,หญิง,ไตรมาสที่ 4,81,2566,1764946,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,หญิง,ไตรมาสที่ 4,82,2566,503301,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,หญิง,ไตรมาสที่ 4,83,2566,182067,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,หญิง,ไตรมาสที่ 4,84,2566,1156,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,รวม,ไตรมาสที่ 1,85,2567,5775495,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,รวม,ไตรมาสที่ 1,86,2567,212280,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,รวม,ไตรมาสที่ 1,87,2567,509758,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,รวม,ไตรมาสที่ 1,88,2567,3452221,,คน,สำนักงานสถิติแห่งชาติ
