จำนวน,ประเภท,ที่มา,_id,ประเภทรถ,รายการ,หน่วยวัด,จังหวัด
" 15,443 ",รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,1,    รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน ,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
 224 ,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,2,    รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน ,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
" 7,939 ",รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,3,    รย. 3 รถยนต์บรรทุกส่วนบุคคล ,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,4,    รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,5,    รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
 22 ,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,6,    รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน ,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,7,    รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
 14 ,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,8,    รย. 8 รถยนต์รับจ้างสามล้อ ,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,9,    รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,10,    รย.10 รถยนต์บริการทัศนาจร ,จำนวนรถจดทะเบียนใหม่,คัน,นครราชสีมา
