_id,ปี,ราคาที่เกษตรกรขายได้,รายได้เกษตรกร,ผลผลิต
1,2559,100,97.5,97.5
2,2560,100,123.8,123.8
3,2561,96,94.3,98.3
4,2562,94.5,124.8,132.2
5,2563,99.8,187.9,188.3
6,2564,91.7,153.3,167.3
7,2565,92.2,113.8,123.5
8,2566,93.6,112.5,120.3
9,2567,91.9,111.7,121.6
