เดือน,_id,ปี,ปริมาณ,รายการ,จังหวัด,หน่วยงาน,หน่วย
มกราคม,1,2563," 23,566.81 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,2,2563," 42,291.69 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,3,2563," 80,801.14 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,4,2563," 85,861.47 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,5,2563," 89,988.29 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,6,2563," 81,548.44 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,7,2563," 63,262.17 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,8,2563," 53,727.30 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,9,2563," 46,270.67 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,10,2563," 36,283.40 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,11,2563," 20,768.55 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,12,2563," 16,412.53 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,13,2564," 20,593.78 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,14,2564," 40,180.69 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,15,2564," 88,618.86 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,16,2564," 74,523.19 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,17,2564," 85,507.07 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,18,2564," 62,685.88 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,19,2564," 66,874.56 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,20,2564," 74,254.93 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,21,2564," 66,570.31 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,22,2564," 64,697.19 ",ปริมาณผลปาล์มน้ำมันที่โรงงานสกัดน้ำมันรับซื้อ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
