จำนวน,_id,ปี,หน่วยวัด,รายการข้อมูล,หน่วยงาน
"620,113",1,2557,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"634,226",2,2558,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"574,614",3,2559,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"603,894",4,2560,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"601,954",5,2561,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"623,794",6,2562,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"647,786",7,2563,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"641,138",8,2564,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"638,352",9,2565,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"640,049",10,2566,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
"482,847",11,2567,ไร่,เนื้อที่เพาะปลูกข้าวนาปี,สำนักงานเกษตรจังหวัดพะเยา
