﻿year,quarter,_id,source,value,hours_work_week,unit,ava_for_ad_work
2555,ไตรมาส 1,1,สำนักงานสถิติแห่งชาติ,81.17,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2555,ไตรมาส 1,2,สำนักงานสถิติแห่งชาติ,715.61,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2555,ไตรมาส 1,3,สำนักงานสถิติแห่งชาติ,29.21,1-9 ชั่วโมง,พันคน,มี
2555,ไตรมาส 1,4,สำนักงานสถิติแห่งชาติ,255.93,1-9 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 1,5,สำนักงานสถิติแห่งชาติ,87.9,10-19 ชั่วโมง,พันคน,มี
2555,ไตรมาส 1,6,สำนักงานสถิติแห่งชาติ,1112.07,10-19 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 1,7,สำนักงานสถิติแห่งชาติ,107.93,20-29 ชั่วโมง,พันคน,มี
2555,ไตรมาส 1,8,สำนักงานสถิติแห่งชาติ,3386.63,20-29 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 1,9,สำนักงานสถิติแห่งชาติ,46.3,30-34 ชั่วโมง,พันคน,มี
2555,ไตรมาส 1,10,สำนักงานสถิติแห่งชาติ,2206.8,30-34 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 2,11,สำนักงานสถิติแห่งชาติ,93.53,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2555,ไตรมาส 2,12,สำนักงานสถิติแห่งชาติ,508.24,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2555,ไตรมาส 2,13,สำนักงานสถิติแห่งชาติ,25.98,1-9 ชั่วโมง,พันคน,มี
2555,ไตรมาส 2,14,สำนักงานสถิติแห่งชาติ,196.84,1-9 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 2,15,สำนักงานสถิติแห่งชาติ,85.69,10-19 ชั่วโมง,พันคน,มี
2555,ไตรมาส 2,16,สำนักงานสถิติแห่งชาติ,1038.33,10-19 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 2,17,สำนักงานสถิติแห่งชาติ,124.62,20-29 ชั่วโมง,พันคน,มี
2555,ไตรมาส 2,18,สำนักงานสถิติแห่งชาติ,2846.6,20-29 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 2,19,สำนักงานสถิติแห่งชาติ,49.71,30-34 ชั่วโมง,พันคน,มี
2555,ไตรมาส 2,20,สำนักงานสถิติแห่งชาติ,1794.12,30-34 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 3,21,สำนักงานสถิติแห่งชาติ,17.04,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2555,ไตรมาส 3,22,สำนักงานสถิติแห่งชาติ,117.17,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2555,ไตรมาส 3,23,สำนักงานสถิติแห่งชาติ,22.73,1-9 ชั่วโมง,พันคน,มี
2555,ไตรมาส 3,24,สำนักงานสถิติแห่งชาติ,146.01,1-9 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 3,25,สำนักงานสถิติแห่งชาติ,74.02,10-19 ชั่วโมง,พันคน,มี
2555,ไตรมาส 3,26,สำนักงานสถิติแห่งชาติ,967.95,10-19 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 3,27,สำนักงานสถิติแห่งชาติ,116.43,20-29 ชั่วโมง,พันคน,มี
2555,ไตรมาส 3,28,สำนักงานสถิติแห่งชาติ,3004.08,20-29 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 3,29,สำนักงานสถิติแห่งชาติ,71.33,30-34 ชั่วโมง,พันคน,มี
2555,ไตรมาส 3,30,สำนักงานสถิติแห่งชาติ,1727.73,30-34 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 4,31,สำนักงานสถิติแห่งชาติ,41.4,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2555,ไตรมาส 4,32,สำนักงานสถิติแห่งชาติ,202.33,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2555,ไตรมาส 4,33,สำนักงานสถิติแห่งชาติ,18.78,1-9 ชั่วโมง,พันคน,มี
2555,ไตรมาส 4,34,สำนักงานสถิติแห่งชาติ,217.09,1-9 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 4,35,สำนักงานสถิติแห่งชาติ,80.24,10-19 ชั่วโมง,พันคน,มี
2555,ไตรมาส 4,36,สำนักงานสถิติแห่งชาติ,1020.22,10-19 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 4,37,สำนักงานสถิติแห่งชาติ,141.2,20-29 ชั่วโมง,พันคน,มี
2555,ไตรมาส 4,38,สำนักงานสถิติแห่งชาติ,2645.69,20-29 ชั่วโมง,พันคน,ไม่มี
2555,ไตรมาส 4,39,สำนักงานสถิติแห่งชาติ,74.13,30-34 ชั่วโมง,พันคน,มี
2555,ไตรมาส 4,40,สำนักงานสถิติแห่งชาติ,1799.48,30-34 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 1,41,สำนักงานสถิติแห่งชาติ,107.15,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2556,ไตรมาส 1,42,สำนักงานสถิติแห่งชาติ,596.84,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2556,ไตรมาส 1,43,สำนักงานสถิติแห่งชาติ,51.36,1-9 ชั่วโมง,พันคน,มี
2556,ไตรมาส 1,44,สำนักงานสถิติแห่งชาติ,191.46,1-9 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 1,45,สำนักงานสถิติแห่งชาติ,78.45,10-19 ชั่วโมง,พันคน,มี
2556,ไตรมาส 1,46,สำนักงานสถิติแห่งชาติ,1127.71,10-19 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 1,47,สำนักงานสถิติแห่งชาติ,112.31,20-29 ชั่วโมง,พันคน,มี
2556,ไตรมาส 1,48,สำนักงานสถิติแห่งชาติ,3382.89,20-29 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 1,49,สำนักงานสถิติแห่งชาติ,44.55,30-34 ชั่วโมง,พันคน,มี
2556,ไตรมาส 1,50,สำนักงานสถิติแห่งชาติ,2305.46,30-34 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 2,51,สำนักงานสถิติแห่งชาติ,54.11,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2556,ไตรมาส 2,52,สำนักงานสถิติแห่งชาติ,545.18,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2556,ไตรมาส 2,53,สำนักงานสถิติแห่งชาติ,24.96,1-9 ชั่วโมง,พันคน,มี
2556,ไตรมาส 2,54,สำนักงานสถิติแห่งชาติ,186.62,1-9 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 2,55,สำนักงานสถิติแห่งชาติ,77.21,10-19 ชั่วโมง,พันคน,มี
2556,ไตรมาส 2,56,สำนักงานสถิติแห่งชาติ,1054.62,10-19 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 2,57,สำนักงานสถิติแห่งชาติ,84.45,20-29 ชั่วโมง,พันคน,มี
2556,ไตรมาส 2,58,สำนักงานสถิติแห่งชาติ,2716.92,20-29 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 2,59,สำนักงานสถิติแห่งชาติ,36.87,30-34 ชั่วโมง,พันคน,มี
2556,ไตรมาส 2,60,สำนักงานสถิติแห่งชาติ,1718.68,30-34 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 3,61,สำนักงานสถิติแห่งชาติ,25.6,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2556,ไตรมาส 3,62,สำนักงานสถิติแห่งชาติ,180.41,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2556,ไตรมาส 3,63,สำนักงานสถิติแห่งชาติ,32.38,1-9 ชั่วโมง,พันคน,มี
2556,ไตรมาส 3,64,สำนักงานสถิติแห่งชาติ,259.27,1-9 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 3,65,สำนักงานสถิติแห่งชาติ,70.82,10-19 ชั่วโมง,พันคน,มี
2556,ไตรมาส 3,66,สำนักงานสถิติแห่งชาติ,962.8,10-19 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 3,67,สำนักงานสถิติแห่งชาติ,128.81,20-29 ชั่วโมง,พันคน,มี
2556,ไตรมาส 3,68,สำนักงานสถิติแห่งชาติ,2736.47,20-29 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 3,69,สำนักงานสถิติแห่งชาติ,69.9,30-34 ชั่วโมง,พันคน,มี
2556,ไตรมาส 3,70,สำนักงานสถิติแห่งชาติ,1834.75,30-34 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 4,71,สำนักงานสถิติแห่งชาติ,67.66,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2556,ไตรมาส 4,72,สำนักงานสถิติแห่งชาติ,250.38,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2556,ไตรมาส 4,73,สำนักงานสถิติแห่งชาติ,31.95,1-9 ชั่วโมง,พันคน,มี
2556,ไตรมาส 4,74,สำนักงานสถิติแห่งชาติ,324.3,1-9 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 4,75,สำนักงานสถิติแห่งชาติ,81.2,10-19 ชั่วโมง,พันคน,มี
2556,ไตรมาส 4,76,สำนักงานสถิติแห่งชาติ,1096.5,10-19 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 4,77,สำนักงานสถิติแห่งชาติ,100.45,20-29 ชั่วโมง,พันคน,มี
2556,ไตรมาส 4,78,สำนักงานสถิติแห่งชาติ,2511.73,20-29 ชั่วโมง,พันคน,ไม่มี
2556,ไตรมาส 4,79,สำนักงานสถิติแห่งชาติ,64.69,30-34 ชั่วโมง,พันคน,มี
2556,ไตรมาส 4,80,สำนักงานสถิติแห่งชาติ,1819.25,30-34 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 1,81,สำนักงานสถิติแห่งชาติ,49.19,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2557,ไตรมาส 1,82,สำนักงานสถิติแห่งชาติ,485.98,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2557,ไตรมาส 1,83,สำนักงานสถิติแห่งชาติ,17.92,1-9 ชั่วโมง,พันคน,มี
2557,ไตรมาส 1,84,สำนักงานสถิติแห่งชาติ,331.04,1-9 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 1,85,สำนักงานสถิติแห่งชาติ,75.02,10-19 ชั่วโมง,พันคน,มี
2557,ไตรมาส 1,86,สำนักงานสถิติแห่งชาติ,1443.23,10-19 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 1,87,สำนักงานสถิติแห่งชาติ,96.26,20-29 ชั่วโมง,พันคน,มี
2557,ไตรมาส 1,88,สำนักงานสถิติแห่งชาติ,3050.85,20-29 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 1,89,สำนักงานสถิติแห่งชาติ,39.5,30-34 ชั่วโมง,พันคน,มี
2557,ไตรมาส 1,90,สำนักงานสถิติแห่งชาติ,2290.4,30-34 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 2,91,สำนักงานสถิติแห่งชาติ,50.88,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,มี
2557,ไตรมาส 2,92,สำนักงานสถิติแห่งชาติ,412.13,มีงานประจำแต่ไม่ได้ทำงาน,พันคน,ไม่มี
2557,ไตรมาส 2,93,สำนักงานสถิติแห่งชาติ,16.87,1-9 ชั่วโมง,พันคน,มี
2557,ไตรมาส 2,94,สำนักงานสถิติแห่งชาติ,173.73,1-9 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 2,95,สำนักงานสถิติแห่งชาติ,54.54,10-19 ชั่วโมง,พันคน,มี
2557,ไตรมาส 2,96,สำนักงานสถิติแห่งชาติ,846.09,10-19 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 2,97,สำนักงานสถิติแห่งชาติ,92.44,20-29 ชั่วโมง,พันคน,มี
2557,ไตรมาส 2,98,สำนักงานสถิติแห่งชาติ,2327.18,20-29 ชั่วโมง,พันคน,ไม่มี
2557,ไตรมาส 2,99,สำนักงานสถิติแห่งชาติ,43.37,30-34 ชั่วโมง,พันคน,มี
2557,ไตรมาส 2,100,สำนักงานสถิติแห่งชาติ,1697.03,30-34 ชั่วโมง,พันคน,ไม่มี
