จำนวนโรงงาน,_id,ปี,อำเภอ,EXIST_FLOW,cfac
54,1,2567,เมืองชลบุรี,53462.65,54
86,2,2567,บ้านบึง,108941.19,86
24,3,2567,หนองใหญ่,38982,24
13,4,2567,บางละมุง,18511,13
16,5,2567,พานทอง,124,16
30,6,2567,พนัสนิคม,43268.02,30
117,7,2567,ศรีราชา,514247.43,117
1,8,2567,เกาะสีชัง,0,1
4,9,2567,สัตหีบ,34,4
14,10,2567,บ่อทอง,6735.07,14
11,11,2567,เกาะจันทร์,724.8,11
