เนื้อที่ปลูก(ไร่),_id,ปีการเพาะปลูก,อำเภอ
" 7,709.61 ",1,2563/2564,   เมืองชัยภูมิ
" 2,009.62 ",2,2563/2564,   บ้านเขว้า
" 6,410.22 ",3,2563/2564,   คอนสวรรค์
" 39,486.36 ",4,2563/2564,   เกษตรสมบูรณ์
" 47,320.88 ",5,2563/2564,   หนองบัวแดง
" 3,890.49 ",6,2563/2564,   จัตุรัส
" 20,476.54 ",7,2563/2564,   บำเหน็จณรงค์
" 1,405.00 ",8,2563/2564,   หนองบัวระเหว
" 7,425.23 ",9,2563/2564,   เทพสถิต
" 106,375.42 ",10,2563/2564,   ภูเขียว
" 23,501.37 ",11,2563/2564,   บ้านแท่น
" 19,567.46 ",12,2563/2564,   แก้งคร้อ
" 35,774.18 ",13,2563/2564,   คอนสาร
" 19,810.81 ",14,2563/2564,   ภักดีชุมพล
" 3,618.75 ",15,2563/2564,   เนินสง่า
" 1,743.94 ",16,2563/2564,   ซับใหญ่
" 6,612.59 ",17,2564/2565,   เมืองชัยภูมิ
" 1,465.16 ",18,2564/2565,   บ้านเขว้า
" 6,612.34 ",19,2564/2565,   คอนสวรรค์
" 25,702.56 ",20,2564/2565,   เกษตรสมบูรณ์
" 34,880.29 ",21,2564/2565,   หนองบัวแดง
" 3,734.61 ",22,2564/2565,   จัตุรัส
" 22,659.57 ",23,2564/2565,   บำเหน็จณรงค์
" 1,088.75 ",24,2564/2565,   หนองบัวระเหว
" 7,080.58 ",25,2564/2565,   เทพสถิต
" 97,007.36 ",26,2564/2565,   ภูเขียว
" 20,885.30 ",27,2564/2565,   บ้านแท่น
" 14,485.08 ",28,2564/2565,   แก้งคร้อ
" 27,409.98 ",29,2564/2565,   คอนสาร
" 16,749.33 ",30,2564/2565,   ภักดีชุมพล
" 3,759.39 ",31,2564/2565,   เนินสง่า
" 1,200.57 ",32,2564/2565,   ซับใหญ่
" 9,713.35 ",33,2565/2566,   เมืองชัยภูมิ
" 1,388.28 ",34,2565/2566,   บ้านเขว้า
" 6,077.78 ",35,2565/2566,   คอนสวรรค์
" 25,760.70 ",36,2565/2566,   เกษตรสมบูรณ์
" 34,812.15 ",37,2565/2566,   หนองบัวแดง
" 6,513.05 ",38,2565/2566,   จัตุรัส
" 25,195.71 ",39,2565/2566,   บำเหน็จณรงค์
" 1,602.50 ",40,2565/2566,   หนองบัวระเหว
" 8,918.59 ",41,2565/2566,   เทพสถิต
" 97,400.65 ",42,2565/2566,   ภูเขียว
" 30,321.17 ",43,2565/2566,   บ้านแท่น
" 16,639.10 ",44,2565/2566,   แก้งคร้อ
" 23,376.07 ",45,2565/2566,   คอนสาร
" 20,769.95 ",46,2565/2566,   ภักดีชุมพล
" 4,580.50 ",47,2565/2566,   เนินสง่า
" 1,241.13 ",48,2565/2566,   ซับใหญ่
" 14,209.00 ",49,2566/2567,   เมืองชัยภูมิ
" 10,355.00 ",50,2566/2567,   บ้านเขว้า
" 5,426.00 ",51,2566/2567,   คอนสวรรค์
" 24,767.28 ",52,2566/2567,   เกษตรสมบูรณ์
" 34,878.00 ",53,2566/2567,   หนองบัวแดง
" 13,041.00 ",54,2566/2567,   จัตุรัส
" 35,345.00 ",55,2566/2567,   บำเหน็จณรงค์
" 4,799.00 ",56,2566/2567,   หนองบัวระเหว
" 19,767.00 ",57,2566/2567,   เทพสถิต
" 84,532.00 ",58,2566/2567,   ภูเขียว
" 38,744.25 ",59,2566/2567,   บ้านแท่น
" 16,942.00 ",60,2566/2567,   แก้งคร้อ
" 23,969.00 ",61,2566/2567,   คอนสาร
" 22,016.14 ",62,2566/2567,   ภักดีชุมพล
" 11,906.00 ",63,2566/2567,   เนินสง่า
" 5,646.00 ",64,2566/2567,   ซับใหญ่
