_id,ปี,ข้อมูล,หน่วย,รายการ
1,2563,1.76,บาท,ราคามันสำปะหลัง
2,2564,2.11,บาท,ราคามันสำปะหลัง
3,2565,2.51,บาท,ราคามันสำปะหลัง
4,2566,2.81,บาท,ราคามันสำปะหลัง
5,2567,2.34,บาท,ราคามันสำปะหลัง
6,2568,1.69,บาท,ราคามันสำปะหลัง
