เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
กุมภาพันธ์,48774,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กุมภาพันธ์,1473,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
กุมภาพันธ์,10829,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
กุมภาพันธ์,5,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
กุมภาพันธ์,228,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
กุมภาพันธ์,21,6,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
กุมภาพันธ์,9,7,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
กุมภาพันธ์,33,8,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
กุมภาพันธ์,161216,9,2567,รย. 12 รถจักรยานยนต์,รถยนต์
กุมภาพันธ์,5057,10,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
กุมภาพันธ์,40,11,2567,รย. 14 รถบดถนน,รถยนต์
กุมภาพันธ์,26,12,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
กุมภาพันธ์,68,13,2567,รย. 16 รถพ่วง,รถยนต์
กุมภาพันธ์,104,14,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
กุมภาพันธ์,70,15,2567,รถโดยสารประจำทาง,รถขนส่ง
กุมภาพันธ์,327,16,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
กุมภาพันธ์,55,17,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
กุมภาพันธ์,2623,18,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
กุมภาพันธ์,2591,19,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
