sex,_id,year,value,unit
ชาย,1,2564,36.9,ร้อยละ
หญิง,2,2564,63.1,ร้อยละ
ชาย,3,2565,37.0,ร้อยละ
หญิง,4,2565,63.0,ร้อยละ
ชาย,5,2566,36.6,ร้อยละ
หญิง,6,2566,63.4,ร้อยละ
ชาย,7,2567,36.2,ร้อยละ
หญิง,8,2567,63.8,ร้อยละ
