﻿year,quarter,_id,area,region,value,unit,source
2556,ไตรมาส 1,42,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,18.43,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,43,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,88.66,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,44,ในเขตเทศบาล,ภาคใต้,14.12,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,45,นอกเขตเทศบาล,ภาคใต้,40.67,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,46,ในเขตเทศบาล,กรุงเทพมหานคร,28.2,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,47,ในเขตเทศบาล,ภาคกลาง,31.43,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,48,นอกเขตเทศบาล,ภาคกลาง,47.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,49,ในเขตเทศบาล,ภาคเหนือ,9.94,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,50,นอกเขตเทศบาล,ภาคเหนือ,29.64,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,51,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,15.63,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,52,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,74.81,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,53,ในเขตเทศบาล,ภาคใต้,16.28,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,54,นอกเขตเทศบาล,ภาคใต้,38.95,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,55,ในเขตเทศบาล,กรุงเทพมหานคร,30.75,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,56,ในเขตเทศบาล,ภาคกลาง,28.37,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,57,นอกเขตเทศบาล,ภาคกลาง,52.62,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,58,ในเขตเทศบาล,ภาคเหนือ,14.9,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,59,นอกเขตเทศบาล,ภาคเหนือ,34.63,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,60,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,21.79,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,61,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,56.87,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,62,ในเขตเทศบาล,ภาคใต้,22.07,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,63,นอกเขตเทศบาล,ภาคใต้,43.61,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,64,ในเขตเทศบาล,กรุงเทพมหานคร,25.62,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,65,ในเขตเทศบาล,ภาคกลาง,24.23,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,66,นอกเขตเทศบาล,ภาคกลาง,44.95,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,67,ในเขตเทศบาล,ภาคเหนือ,13.96,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,68,นอกเขตเทศบาล,ภาคเหนือ,32.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,69,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,20.43,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,70,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,52.9,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,71,ในเขตเทศบาล,ภาคใต้,14.31,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 4,72,นอกเขตเทศบาล,ภาคใต้,27.22,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,73,ในเขตเทศบาล,กรุงเทพมหานคร,44.92,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,74,ในเขตเทศบาล,ภาคกลาง,49.68,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,75,นอกเขตเทศบาล,ภาคกลาง,48.89,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,76,ในเขตเทศบาล,ภาคเหนือ,16.05,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,77,นอกเขตเทศบาล,ภาคเหนือ,28.81,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,78,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,19.31,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,79,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,77.96,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,80,ในเขตเทศบาล,ภาคใต้,22.44,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 1,81,นอกเขตเทศบาล,ภาคใต้,33.06,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,82,ในเขตเทศบาล,กรุงเทพมหานคร,48.8,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,83,ในเขตเทศบาล,ภาคกลาง,69.3,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,84,นอกเขตเทศบาล,ภาคกลาง,56.09,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,85,ในเขตเทศบาล,ภาคเหนือ,23.63,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,86,นอกเขตเทศบาล,ภาคเหนือ,31.52,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,87,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,18.86,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,88,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,71.67,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,89,ในเขตเทศบาล,ภาคใต้,23.87,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 2,90,นอกเขตเทศบาล,ภาคใต้,41.99,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,91,ในเขตเทศบาล,กรุงเทพมหานคร,40.34,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาส 3,92,ในเขตเทศบาล,ภาคกลาง,45.89,พันคน,สำนักงานสถิติแห่งชาติ
