_id,ปี,จำนวนโรงงาน,หน่วย
1,2567,134,แห่ง
2,2566,144,แห่ง
3,2565,89,แห่ง
4,2564,89,แห่ง
5,2563,89,แห่ง
6,2562,89,แห่ง
