จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"172,200.00",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,บาท
"182,300.00",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,บาท
"76,400.00",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,บาท
"99,145.81",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,บาท
