พันธุ์,_id,ปี,ราคา
พื้นเมือง,1,2563,34
ปีเตอร์สัน,2,2563,60
แฮส,3,2563,111
บัคคาเนีย,4,2563,85
บูท 7,5,2563,60
พื้นเมือง,6,2564,31
ปีเตอร์สัน,7,2564,60
แฮส,8,2564,108
บัคคาเนีย,9,2564,84
บูท 7,10,2564,60
พื้นเมือง,11,2565,25
ปีเตอร์สัน,12,2565,40
แฮส,13,2565,60
บัคคาเนีย,14,2565,65
บูท 7,15,2565,50
พื้นเมือง,16,2566,69
ปีเตอร์สัน,17,2566,59
แฮส,18,2566,95
บัคคาเนีย,19,2566,59
บูท 7,20,2566,58
พื้นเมือง,21,2567,79
ปีเตอร์สัน,22,2567,50
แฮส,23,2567,140
บัคคาเนีย,24,2567,60
บูท 7,25,2567,50
