ประเภท,_id,ปี,พื้นที่ปลูก,หน่วยนับ,หน่วยงานเจ้าของข้อมูล,อำเภอ,รายการข้อมูล,จังหวัด
ข้าวนาปรัง,1,2566,"5,307",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เมืองสกลนคร,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,2,2566,"3,066",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุสุมาลย์,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,3,2566,63,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุดบาก,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,4,2566,"15,988",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พรรณานิคม,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,5,2566,"9,323",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พังโคน,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,6,2566,"1,824",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วาริชภูมิ,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,7,2566,46,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,นิคมน้ำอูน,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,8,2566,280,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วานรนิวาส,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,9,2566,"2,144",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,บ้านม่วง,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,10,2566,"11,082",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,อากาศอำนวย,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,11,2566,"2,550",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,สว่างแดนดิน,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,12,2566,30,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,ส่องดาว,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,13,2566,45,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เต่างอย,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,14,2566,"1,839",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,โพนนาแก้ว,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,15,2567,5838.31,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เมืองสกลนคร,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,16,2567,3312.75,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุสุมาลย์,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,17,2567,66.5,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุดบาก,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปรัง,18,2567,16084,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พรรณานิคม,ข้อมูลพื้นที่ปลูกข้าวนาปรัง (ไร่) จังหวัดสกลนคร,สกลนคร
