เดือน,มาตรา 40 (คน),มาตรา 39 (คน),มาตรา 33 (คน),_id,ปี,รวม (คน)
ม.ค.,"538,815","92,701","736,993",1,2565,"1,368,509"
ก.พ.,"539,236","92,120","747,065",2,2565,"1,378,421"
มี.ค.,"539,684","91,764","753,052",3,2565,"1,384,500"
เม.ย.,"539,907","91,039","753,295",4,2565,"1,384,241"
พ.ค.,"540,137","90,874","758,266",5,2565,"1,389,277"
มิ.ย.,"540,306","90,991","763,506",6,2565,"1,394,803"
ก.ค.,"540,533","91,192","765,525",7,2565,"1,397,250"
ส.ค.,"540,668","91,337","771,220",8,2565,"1,403,225"
ก.ย.,"540,811","91,230","777,129",9,2565,"1,409,170"
ต.ค.,"540,929","91,108","778,814",10,2565,"1,410,851"
พ.ย.,"541,082","91,138","785,283",11,2565,"1,417,503"
ธ.ค.,"541,226","90,584","787,985",12,2565,"1,419,795"
ม.ค.,"541,375","90,500","784,372",13,2566,"1,416,247"
ก.พ.,"541,474","90,214","788,247",14,2566,"1,419,935"
มี.ค.,"541,630","89,931","789,846",15,2566,"1,421,407"
เม.ย.,"541,739","89,451","785,316",16,2566,"1,416,506"
พ.ค.,"541,947","89,750","788,558",17,2566,"1,420,255"
มิ.ย.,"542,130","89,769","795,629",18,2566,"1,427,528"
ก.ค.,"542,241","89,472","800,199",19,2566,"1,431,912"
ส.ค.,"542,339","89,140","802,337",20,2566,"1,433,816"
ก.ย.,"542,525","88,843","806,097",21,2566,"1,437,465"
ต.ค.,"542,656","88,522","809,941",22,2566,"1,441,119"
พ.ย.,"542,759","87,901","809,357",23,2566,"1,440,017"
ธ.ค.,"542,839","87,478","811,526",24,2566,"1,441,843"
ม.ค.,"542,918","86,998","807,000",25,2567,"1,436,916"
ก.พ.,"542,995","86,401","809,718",26,2567,"1,439,114"
มี.ค.,"543,107","86,069","810,249",27,2567,"1,439,425"
เม.ย.,"543,158","85,617","808,059",28,2567,"1,436,834"
พ.ค.,"543,282","85,322","813,581",29,2567,"1,442,185"
มิ.ย.,"543,297","85,004","818,616",30,2567,"1,446,917"
ก.ค.,"543,385","84,640","821,613",31,2567,"1,449,638"
ส.ค.,"543,419","84,222","825,093",32,2567,"1,452,734"
ก.ย.,"543,453","84,007","825,960",33,2567,"1,453,420"
ต.ค.,"543,558","84,540","824,095",34,2567,"1,452,193"
พ.ย.,"543,738","84,887","825,993",35,2567,"1,454,618"
ธ.ค.,"543,726","85,184","825,813",36,2567,"1,454,723"
