_id,ปี,ขยะที่เกิดขึ้น รายปี
1,2560,941955.5
2,2561,945788
3,2562,1062113.5
4,2563,1104588
5,2564,954511.5
6,2565,1134055
7,2566,1144713
8,2567,1181448
