ADM1_TH,ADM1_PCODE,_id,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM2_TH
ระยอง,TH21,1,Mueang Rayong,TH2101,Rayong,เมืองระยอง
ระยอง,TH21,2,Ban Chang,TH2102,Rayong,บ้านฉาง
ระยอง,TH21,3,Klaeng,TH2103,Rayong,แกลง
ระยอง,TH21,4,Wang Chan,TH2104,Rayong,วังจันทร์
ระยอง,TH21,5,Ban Khai,TH2105,Rayong,บ้านค่าย
ระยอง,TH21,6,Pluak Daeng,TH2106,Rayong,ปลวกแดง
ระยอง,TH21,7,Khao Chamao,TH2107,Rayong,เขาชะเมา
ระยอง,TH21,8,Nikhom Phatthana,TH2108,Rayong,นิคมพัฒนา
