VALUE,QUARTER,SOURCE,_id,INDUSTRY,UNIT,REGION,YEAR
49678.94,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,1,ข้อมูลข่าวสารและการสื่อสาร,บาท,ทั่วประเทศ,2567
31656.11,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,2,กิจกรรมทางการเงินและการประกันภัย,บาท,ทั่วประเทศ,2567
27357.73,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,3,กิจกรรมอสังหาริมทรัพย์,บาท,ทั่วประเทศ,2567
29978.17,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,4,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,บาท,ทั่วประเทศ,2567
17528.16,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,5,กิจกรรมการบริหารและการบริการสนับสนุน,บาท,ทั่วประเทศ,2567
20828.59,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,6,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,บาท,ทั่วประเทศ,2567
30485.78,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,7,การศึกษา,บาท,ทั่วประเทศ,2567
24979.63,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,8,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,บาท,ทั่วประเทศ,2567
21742.82,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,9,ศิลปะ ความบันเทิง และนันทนาการ,บาท,ทั่วประเทศ,2567
14029.05,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,10,กิจกรรมบริการด้านอื่น ๆ,บาท,ทั่วประเทศ,2567
12170.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,11,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,บาท,ทั่วประเทศ,2567
45000.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,12,กิจกรรมขององค์การระหว่างประเทศ,บาท,ทั่วประเทศ,2567
511381.45,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,13,ไม่ทราบ,บาท,ทั่วประเทศ,2567
34178.65,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,14,รวม,บาท,กรุงเทพมหานคร,2567
11680.56,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,15,เกษตรกรรม การป่าไม้ และการประมง,บาท,กรุงเทพมหานคร,2567
130000.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,16,การทำเหมืองแร่ และเหมืองหิน,บาท,กรุงเทพมหานคร,2567
23308.67,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,17,การผลิต,บาท,กรุงเทพมหานคร,2567
35700.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,18,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,บาท,กรุงเทพมหานคร,2567
176817.54,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,19,การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,บาท,กรุงเทพมหานคร,2567
19280.62,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,20,การก่อสร้าง,บาท,กรุงเทพมหานคร,2567
36049.85,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,21,การขายส่ง และการขายปลีก การซ่อมยานยนต์,บาท,กรุงเทพมหานคร,2567
31050.05,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,22,การขนส่ง และสถานที่เก็บสินค้า,บาท,กรุงเทพมหานคร,2567
