เนื้อที่,_id,ปี,อำเภอ,จังหวัด,หน่วย
" 71,098 ",1,2562,เมืองลำปาง,ลำปาง,ไร่
" 18,372 ",2,2562,แม่เมาะ,ลำปาง,ไร่
" 42,578 ",3,2562,เกาะคา,ลำปาง,ไร่
" 29,999 ",4,2562,เสริมงาม,ลำปาง,ไร่
" 34,873 ",5,2562,งาว,ลำปาง,ไร่
" 29,240 ",6,2562,แจ้ห่ม,ลำปาง,ไร่
" 27,889 ",7,2562,วังเหนือ,ลำปาง,ไร่
" 36,906 ",8,2562,เถิน,ลำปาง,ไร่
" 12,969 ",9,2562,แม่พริก,ลำปาง,ไร่
" 46,501 ",10,2562,แม่ทะ,ลำปาง,ไร่
" 31,985 ",11,2562,สบปราบ,ลำปาง,ไร่
" 35,942 ",12,2562,ห้างฉัตร,ลำปาง,ไร่
" 22,867 ",13,2562,เมืองปาน,ลำปาง,ไร่
" 71,531 ",14,2563,เมืองลำปาง,ลำปาง,ไร่
" 18,974 ",15,2563,แม่เมาะ,ลำปาง,ไร่
" 41,925 ",16,2563,เกาะคา,ลำปาง,ไร่
" 32,066 ",17,2563,เสริมงาม,ลำปาง,ไร่
" 39,233 ",18,2563,งาว,ลำปาง,ไร่
" 28,758 ",19,2563,แจ้ห่ม,ลำปาง,ไร่
" 29,180 ",20,2563,วังเหนือ,ลำปาง,ไร่
" 38,849 ",21,2563,เถิน,ลำปาง,ไร่
" 13,540 ",22,2563,แม่พริก,ลำปาง,ไร่
" 47,671 ",23,2563,แม่ทะ,ลำปาง,ไร่
" 30,770 ",24,2563,สบปราบ,ลำปาง,ไร่
" 36,594 ",25,2563,ห้างฉัตร,ลำปาง,ไร่
" 24,806 ",26,2563,เมืองปาน,ลำปาง,ไร่
" 70,338 ",27,2564,เมืองลำปาง,ลำปาง,ไร่
" 19,263 ",28,2564,แม่เมาะ,ลำปาง,ไร่
" 40,765 ",29,2564,เกาะคา,ลำปาง,ไร่
" 29,887 ",30,2564,เสริมงาม,ลำปาง,ไร่
" 36,336 ",31,2564,งาว,ลำปาง,ไร่
" 28,481 ",32,2564,แจ้ห่ม,ลำปาง,ไร่
" 27,783 ",33,2564,วังเหนือ,ลำปาง,ไร่
" 39,744 ",34,2564,เถิน,ลำปาง,ไร่
" 13,430 ",35,2564,แม่พริก,ลำปาง,ไร่
" 47,356 ",36,2564,แม่ทะ,ลำปาง,ไร่
" 31,387 ",37,2564,สบปราบ,ลำปาง,ไร่
" 34,930 ",38,2564,ห้างฉัตร,ลำปาง,ไร่
" 24,402 ",39,2564,เมืองปาน,ลำปาง,ไร่
" 68,794 ",40,2565,เมืองลำปาง,ลำปาง,ไร่
" 18,911 ",41,2565,แม่เมาะ,ลำปาง,ไร่
" 40,095 ",42,2565,เกาะคา,ลำปาง,ไร่
" 29,880 ",43,2565,เสริมงาม,ลำปาง,ไร่
" 34,063 ",44,2565,งาว,ลำปาง,ไร่
