รายการสถิติทางการ,_id,ปี,หน่วยนับ,หญิง,ชาย,อาชีพ
รวม,1,2561,คน,"2,629","12,737",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,2,2561,คน,"13,043","10,105",วิชาชีพด้านต่างๆ
รวม,3,2561,คน,"3,811","4,644",วิชาชีพด้านเทคนิค
รวม,4,2561,คน,"6,981","1,444",เสมียน
รวม,5,2561,คน,"51,872","33,396",พนักงานบริการ
รวม,6,2561,คน,"151,702","181,462",ด้านการเกษตรและประมง
รวม,7,2561,คน,"6,784","28,018",ด้านความสามารถทางฝีมือ
รวม,8,2561,คน,"15,668","18,254",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,9,2561,คน,"9,132","24,918",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,10,2561,คน,"1,518","9,808",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,11,2561,คน,"12,843","9,623",วิชาชีพด้านต่างๆ
แรงงานในระบบ,12,2561,คน,"3,185","4,644",วิชาชีพด้านเทคนิค
แรงงานในระบบ,13,2561,คน,"5,590","1,255",เสมียน
แรงงานในระบบ,14,2561,คน,"13,154","10,750",พนักงานบริการ
แรงงานในระบบ,15,2561,คน,536,"1,162",ด้านการเกษตรและประมง
แรงงานในระบบ,16,2561,คน,"1,183","8,208",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,17,2561,คน,"2,259","11,416",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,18,2561,คน,"3,773","8,629",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,19,2561,คน,"1,111","2,930",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,20,2561,คน,200,482,วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,21,2561,คน,626,0,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,22,2561,คน,"1,391",189,เสมียน
แรงงานนอกระบบ,23,2561,คน,"38,718","22,646",พนักงานบริการ
แรงงานนอกระบบ,24,2561,คน,"151,166","180,300",ด้านการเกษตรและประมง
แรงงานนอกระบบ,25,2561,คน,"5,600","19,810",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,26,2561,คน,"13,409","6,838",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,27,2561,คน,"5,360","16,288",อาชีพพื้นฐานต่าง ๆ
รวม,28,2562,คน,"3,356","14,603",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,29,2562,คน,"14,914","11,021",วิชาชีพด้านต่างๆ
รวม,30,2562,คน,"3,123","4,655",วิชาชีพด้านเทคนิค
รวม,31,2562,คน,"8,878","2,299",เสมียน
รวม,32,2562,คน,"52,527","29,627",พนักงานบริการ
รวม,33,2562,คน,"137,240","177,723",ด้านการเกษตรและประมง
รวม,34,2562,คน,"6,808","28,010",ด้านความสามารถทางฝีมือ
รวม,35,2562,คน,"10,008","13,659",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,36,2562,คน,"9,936","12,874",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,37,2562,คน,"2,876","12,358",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,38,2562,คน,"14,685","10,109",วิชาชีพด้านต่างๆ
แรงงานในระบบ,39,2562,คน,"2,732","4,261",วิชาชีพด้านเทคนิค
แรงงานในระบบ,40,2562,คน,"8,702","1,757",เสมียน
แรงงานในระบบ,41,2562,คน,"19,258","10,764",พนักงานบริการ
แรงงานในระบบ,42,2562,คน,"2,144","2,526",ด้านการเกษตรและประมง
แรงงานในระบบ,43,2562,คน,"2,047","10,963",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,44,2562,คน,676,"8,042",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,45,2562,คน,"4,355","6,380",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,46,2562,คน,480,"2,246",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,47,2562,คน,230,912,วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,48,2562,คน,392,394,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,49,2562,คน,176,543,เสมียน
แรงงานนอกระบบ,50,2562,คน,"33,270","18,864",พนักงานบริการ
แรงงานนอกระบบ,51,2562,คน,"135,096","175,197",ด้านการเกษตรและประมง
แรงงานนอกระบบ,52,2562,คน,"4,761","17,047",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,53,2562,คน,"9,331","5,617",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,54,2562,คน,"5,581","6,494",อาชีพพื้นฐานต่าง ๆ
รวม,55,2563,คน,"4,997","10,711",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,56,2563,คน,"15,170","9,200",วิชาชีพด้านต่างๆ
รวม,57,2563,คน,"4,001","5,775",วิชาชีพด้านเทคนิค
รวม,58,2563,คน,"7,316","2,243",เสมียน
รวม,59,2563,คน,"50,720","29,170",พนักงานบริการ
รวม,60,2563,คน,"147,604","182,868",ด้านการเกษตรและประมง
รวม,61,2563,คน,"9,147","24,127",ด้านความสามารถทางฝีมือ
รวม,62,2563,คน,"5,701","14,945",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,63,2563,คน,"13,509","27,982",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,64,2563,คน,"4,856","7,927",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,65,2563,คน,"14,525","8,096",วิชาชีพด้านต่างๆ
แรงงานในระบบ,66,2563,คน,"3,416","5,290",วิชาชีพด้านเทคนิค
แรงงานในระบบ,67,2563,คน,"6,758","2,103",เสมียน
แรงงานในระบบ,68,2563,คน,"18,323","10,721",พนักงานบริการ
แรงงานในระบบ,69,2563,คน,"5,484","5,261",ด้านการเกษตรและประมง
แรงงานในระบบ,70,2563,คน,"2,525","7,497",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,71,2563,คน,"1,172","8,477",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,72,2563,คน,"4,411","8,671",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,73,2563,คน,140,"2,784",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,74,2563,คน,645,"1,104",วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,75,2563,คน,585,484,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,76,2563,คน,558,140,เสมียน
แรงงานนอกระบบ,77,2563,คน,"32,397","18,448",พนักงานบริการ
แรงงานนอกระบบ,78,2563,คน,"142,120","177,606",ด้านการเกษตรและประมง
แรงงานนอกระบบ,79,2563,คน,"6,621","16,630",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,80,2563,คน,"4,529","6,468",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,81,2563,คน,"9,098","19,310",อาชีพพื้นฐานต่าง ๆ
รวม,82,2564,คน,"5,073","10,379",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,83,2564,คน,"9,856","6,179",วิชาชีพด้านต่างๆ
รวม,84,2564,คน,"3,058","3,353",วิชาชีพด้านเทคนิค
รวม,85,2564,คน,"5,354","3,240",เสมียน
รวม,86,2564,คน,"43,435","28,366",พนักงานบริการ
รวม,87,2564,คน,"168,695","182,846",ด้านการเกษตรและประมง
รวม,88,2564,คน,"5,880","23,438",ด้านความสามารถทางฝีมือ
รวม,89,2564,คน,"6,849","16,155",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,90,2564,คน,"18,879","29,657",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,91,2564,คน,"4,283","7,595",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,92,2564,คน,"9,856","5,460",วิชาชีพด้านต่างๆ
แรงงานในระบบ,93,2564,คน,"2,732","3,169",วิชาชีพด้านเทคนิค
แรงงานในระบบ,94,2564,คน,"5,354","3,093",เสมียน
แรงงานในระบบ,95,2564,คน,"12,199","8,494",พนักงานบริการ
แรงงานในระบบ,96,2564,คน,680,"2,338",ด้านการเกษตรและประมง
แรงงานในระบบ,97,2564,คน,"1,119","9,438",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,98,2564,คน,"2,489","8,448",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,99,2564,คน,"8,238","11,276",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,100,2564,คน,790,"2,783",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,101,2564,คน,0,719,วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,102,2564,คน,326,184,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,103,2564,คน,0,146,เสมียน
แรงงานนอกระบบ,104,2564,คน,"31,237","19,872",พนักงานบริการ
แรงงานนอกระบบ,105,2564,คน,"168,015","180,507",ด้านการเกษตรและประมง
แรงงานนอกระบบ,106,2564,คน,"4,761","14,000",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,107,2564,คน,"4,360","7,707",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,108,2564,คน,"10,642","18,381",อาชีพพื้นฐานต่าง ๆ
รวม,109,2565,คน,"3,258","10,345","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
รวม,110,2565,คน,"14,822","9,532","วิชาชีพ
ด้านต่าง ๆ"
รวม,111,2565,คน,"7,193","2,783","วิชาชีพ
ด้านเทคนิค"
รวม,112,2565,คน,"4,182","2,327",เสมียน
รวม,113,2565,คน,"52,207","23,977","พนักงาน
บริการ"
รวม,114,2565,คน,"167,293","195,702","ด้านการเกษตร
และประมง"
รวม,115,2565,คน,"4,777","24,909","ด้านความสามารถ
ทางฝีมือ"
รวม,116,2565,คน,"7,448","10,036","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
รวม,117,2565,คน,"16,168","31,262","อาชีพพื้นฐาน
ต่าง ๆ"
รวม,118,2565,คน,0,0," คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น "
แรงงานในระบบ,119,2565,คน,"2,447","8,486","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
แรงงานในระบบ,120,2565,คน,"14,822","9,310","วิชาชีพ
ด้านต่าง ๆ"
แรงงานในระบบ,121,2565,คน,"6,709","1,781","วิชาชีพ
ด้านเทคนิค"
แรงงานในระบบ,122,2565,คน,"3,768","2,144",เสมียน
แรงงานในระบบ,123,2565,คน,"17,865","8,510","พนักงาน
บริการ"
แรงงานในระบบ,124,2565,คน,418,"1,422","ด้านการเกษตร
และประมง"
แรงงานในระบบ,125,2565,คน,"1,034","8,359","ด้านความสามารถ
ทางฝีมือ"
แรงงานในระบบ,126,2565,คน,"5,022","5,204","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
แรงงานในระบบ,127,2565,คน,"6,072","10,866","อาชีพพื้นฐาน
ต่าง ๆ"
แรงงานในระบบ,128,2565,คน,0,0," คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น "
แรงงานนอกระบบ,129,2565,คน,811,"1,859","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
