_id,ชนิดสินค้า,มูลค่าผลผลิตตาม,ราคาที่เกษตรกร,พื้นที่ปลูก,ผลผลิต,ปีการผลิต,ผลผลิตเฉลี่ย
1,,ราคาที่เกษตรกรขายได้,ขายได้(บาท/กก.),(ไร่),(ตัน),,(กก./ไร่)
2,,(ล้านบาท),,,,,
3,ทุเรียน,"2,718.39",69.79,"36,893","38,951",2561,"1,610"
4,มังคุด,"1,233.87",84.61,"38,863","14,583",,398
5,เงาะ,"1,889.29",24.8,"51,904","76,181",,"1,554"
6,ลองกอง,101.43,34.14,"8,987","2,971",,353
7,ยางพารา,"1,699.35",27.33,"338,597","62,179",,206
8,ปาล์มน้ำมัน,535.73,3.34,"63,107","160,399",,"2,615"
9,ข้าว,65.29,9.5,"15,348","6,873",,449
10,สับปะรดโรงงาน,59.77,3.21,"4,919","18,621",,"3,837"
11,สับปะรดตราดสีทอง,400.43,9.91,"16,133","40,407",,"3,490"
12,ทุเรียน,"4,575.01",95,"40,439","48,158",2562,"1,846"
13,มังคุด,"1,904.48",55,"38,923","34,627",,929
14,เงาะ,"2,345.92",27,"52,590","86,886",,"1,762"
15,ลองกอง,115.29,30,"8,297","3,843",,464
16,ยางพารา,"1,398.48",23.12,"337,707","60,488",,204
17,ปาล์มน้ำมัน,508.26,2.95,"63,821","172,293",,"2,819"
18,ข้าวนาปี,60.43,9.5,"14,415","6,361",,497
19,สับปะรดโรงงาน,66.57,3.21,"6,219","20,739",,"3,605"
20,สับปะรดตราดสีทอง,546.36,10.04,"16,003","54,418",,"3,596"
21,ทุเรียน,"5,564.04",100.84,"45,239","55,176",2563,"1,993"
22,มังคุด,"1,780.32",42.51,"39,547","41,880",,"1,113"
23,เงาะ,"1,572.20",15.08,"53,526","104,248",,"2,065"
24,ลองกอง,116.23,28.66,"7,530","4,056",,540
25,ยางพารา,"2,313.09",39.12,"329,964","59,128",,206
26,ปาล์มน้ำมัน,689.39,4,"64,808","172,263",,"2,710"
27,ข้าว,55.23,8.2,"14,142","6,735",,443
28,สับปะรดโรงงาน,170.94,9.36,"5,698","18,263",,"3,307"
29,สับปะรดตราดสีทอง,557.44,10.43,"16,560","53,446",,"3,528"
30,ทุเรียน,"6,280.69",110.49,"59,199","56,844",2564,"1,773"
31,มังคุด,"1,912.79",85.48,"39,696","22,377",,596
32,เงาะ,"2,162.68",23.21,"52,791","93,179",,"1,911"
33,ลองกอง,122.1,35.86,"6,771","3,405",,504
34,ยางพารา,"1,378.29",25.2,"316,473","54,694",,221
35,ปาล์มน้ำมัน,"1,063.40",6.34,"64,156","167,729",,"2,694"
36,ข้าว,39.53,6.4,"14,114","6,176",,445
37,สับปะรดโรงงาน,82.57,6.15,"5,738","13,426",,"3,164"
38,สับปะรดตราดสีทอง,471.97,8.49,"17,923","55,591",,"3,231"
39,ทุเรียน,"9,744.19",112.86,"74,700","86,336",2565,"2,323"
40,มังคุด,"2,658.34",57.72,"39,734","46,052",,"1,225"
41,เงาะ,"2,278.54",20.49,"52,134","111,226",,"2,295"
42,ลองกอง,132.23,39.09,"5,497","3,565",,649
43,ยางพารา,"1,422.84",22.6,"303,235","62,957",,243
44,ปาล์มน้ำมัน,"1,199.44",7.38,"62,683","162,527",,"2,634"
45,ข้าว,43.67,7.26,"13,546","6,015",,452
46,สับปะรดโรงงาน,61.84,6.45,"2,964","9,595",,"3,325"
47,สับปะรดตราดสีทอง,465.59,9.94,"15,171","46,833",,"3,336"
48,ทุเรียน,"13,010.42",145.35,"92,175","89,511",2566,"2,102"
49,มังคุด,"1,978.69",70.87,"48,070","27,920",,743
50,เงาะ,"2,114.20",25.46,"39,734","83,040",,"1,851"
51,ลองกอง,73.43,43.17,"2,934","1,701",,581
52,ยางพารา,"1,152.97",21.15,"310,346","54,514",,209
53,ปาล์มน้ำมัน,770.07,5.05,"63,657","152,490",,"2,562"
54,ข้าว,45.49,8.66,"12,781","5,253",,423
55,สับปะรดโรงงาน,62.54,8.3,"13,504","7,535",,"3,298"
56,สับปะรดตราดสีทอง,680.26,15.25,"2,435","44,607",,"3,592"
