_id,ปี,ผลิตภัณฑ์แปรรูป,หน่วย
1,2562,ลำไยกระป๋อง,ผลิตภัณฑ์
2,2562,ลำไยในน้ำเชื่อม,ผลิตภัณฑ์
3,2562,ลำไยอบแห้ง,ผลิตภัณฑ์
4,2563,ลำไยกระป๋อง,ผลิตภัณฑ์
5,2563,ลำไยในน้ำเชื่อม,ผลิตภัณฑ์
6,2563,ลำไยอบแห้ง,ผลิตภัณฑ์
7,2564,ลำไยกระป๋อง,ผลิตภัณฑ์
8,2564,ลำไยในน้ำเชื่อม,ผลิตภัณฑ์
9,2564,ลำไยอบแห้ง,ผลิตภัณฑ์
10,2565,ลำไยกระป๋อง,ผลิตภัณฑ์
11,2565,ลำไยในน้ำเชื่อม,ผลิตภัณฑ์
12,2565,ลำไยอบแห้ง,ผลิตภัณฑ์
13,2566,ลำไยกระป๋อง,ผลิตภัณฑ์
14,2566,ลำไยในน้ำเชื่อม,ผลิตภัณฑ์
15,2566,ลำไยอบแห้ง,ผลิตภัณฑ์
16,2567,ลำไยกระป๋อง,ผลิตภัณฑ์
17,2567,ลำไยในน้ำเชื่อม,ผลิตภัณฑ์
18,2567,ลำไยอบแห้ง,ผลิตภัณฑ์
19,2568,ลำไยกระป๋อง,ผลิตภัณฑ์
20,2568,ลำไยในน้ำเชื่อม,ผลิตภัณฑ์
21,2568,ลำไยอบแห้ง,ผลิตภัณฑ์
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
