เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
กันยายน,36567,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กันยายน,1616,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
กันยายน,9151,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
กันยายน,12,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
กันยายน,322,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
กันยายน,20,6,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
กันยายน,9,7,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
กันยายน,24,8,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
กันยายน,134600,9,2567,รย. 12 รถจักรยานยนต์,รถยนต์
กันยายน,3809,10,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
กันยายน,80,11,2567,รย. 14 รถบดถนน,รถยนต์
กันยายน,47,12,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
กันยายน,91,13,2567,รย. 16 รถพ่วง,รถยนต์
กันยายน,93,14,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
กันยายน,96,15,2567,รถโดยสารประจำทาง,รถขนส่ง
กันยายน,358,16,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
กันยายน,52,17,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
กันยายน,1989,18,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
กันยายน,2549,19,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
