_id,สัปดาห์,เดือน,หน่วย,ประเภท,จำนวนเงิน
1,1,มกราคม,บาท,ราคาต่ำสุด ,34
2,1,มกราคม,บาท,ราคาสูงสุด,36
3,2,มกราคม,บาท,ราคาต่ำสุด ,34
4,2,มกราคม,บาท,ราคาสูงสุด,36
5,3,มกราคม,บาท,ราคาต่ำสุด ,34
6,3,มกราคม,บาท,ราคาสูงสุด,36
7,4,มกราคม,บาท,ราคาต่ำสุด ,32
8,4,มกราคม,บาท,ราคาสูงสุด,35
9,5,มกราคม,บาท,ราคาต่ำสุด ,33
10,5,มกราคม,บาท,ราคาสูงสุด,36
11,1,กุมภาพันธ์,บาท,ราคาต่ำสุด ,33
12,1,กุมภาพันธ์,บาท,ราคาสูงสุด,36
13,2,กุมภาพันธ์,บาท,ราคาต่ำสุด ,33
14,2,กุมภาพันธ์,บาท,ราคาสูงสุด,35
15,3,กุมภาพันธ์,บาท,ราคาต่ำสุด ,36
16,3,กุมภาพันธ์,บาท,ราคาสูงสุด,38
17,4,กุมภาพันธ์,บาท,ราคาต่ำสุด ,38
18,4,กุมภาพันธ์,บาท,ราคาสูงสุด,39
19,5,กุมภาพันธ์,บาท,ราคาต่ำสุด ,-
20,5,กุมภาพันธ์,บาท,ราคาสูงสุด,-
21,1,มีนาคม,บาท,ราคาต่ำสุด ,40
22,1,มีนาคม,บาท,ราคาสูงสุด,42
23,2,มีนาคม,บาท,ราคาต่ำสุด ,40
24,2,มีนาคม,บาท,ราคาสูงสุด,42
25,3,มีนาคม,บาท,ราคาต่ำสุด ,38
26,3,มีนาคม,บาท,ราคาสูงสุด,40
27,4,มีนาคม,บาท,ราคาต่ำสุด ,38
28,4,มีนาคม,บาท,ราคาสูงสุด,40
29,5,มีนาคม,บาท,ราคาต่ำสุด ,-
30,5,มีนาคม,บาท,ราคาสูงสุด,-
31,1,เมษายน,บาท,ราคาต่ำสุด ,38
32,1,เมษายน,บาท,ราคาสูงสุด,40
33,2,เมษายน,บาท,ราคาต่ำสุด ,38
34,2,เมษายน,บาท,ราคาสูงสุด,40
35,3,เมษายน,บาท,ราคาต่ำสุด ,33
36,3,เมษายน,บาท,ราคาสูงสุด,35
37,4,เมษายน,บาท,ราคาต่ำสุด ,30
38,4,เมษายน,บาท,ราคาสูงสุด,34
39,5,เมษายน,บาท,ราคาต่ำสุด ,-
40,5,เมษายน,บาท,ราคาสูงสุด,-
41,1,พฤษภาคม,บาท,ราคาต่ำสุด ,32
42,1,พฤษภาคม,บาท,ราคาสูงสุด,35
43,2,พฤษภาคม,บาท,ราคาต่ำสุด ,32
44,2,พฤษภาคม,บาท,ราคาสูงสุด,35
45,3,พฤษภาคม,บาท,ราคาต่ำสุด ,33
46,3,พฤษภาคม,บาท,ราคาสูงสุด,35
47,4,พฤษภาคม,บาท,ราคาต่ำสุด ,34
48,4,พฤษภาคม,บาท,ราคาสูงสุด,36
49,5,พฤษภาคม,บาท,ราคาต่ำสุด ,-
50,5,พฤษภาคม,บาท,ราคาสูงสุด,-
51,1,มิถุนายน,บาท,ราคาต่ำสุด ,34
52,1,มิถุนายน,บาท,ราคาสูงสุด,36
53,2,มิถุนายน,บาท,ราคาต่ำสุด ,34
54,2,มิถุนายน,บาท,ราคาสูงสุด,37
55,3,มิถุนายน,บาท,ราคาต่ำสุด ,33
56,3,มิถุนายน,บาท,ราคาสูงสุด,35
57,4,มิถุนายน,บาท,ราคาต่ำสุด ,30
58,4,มิถุนายน,บาท,ราคาสูงสุด,33
59,5,มิถุนายน,บาท,ราคาต่ำสุด ,30
60,5,มิถุนายน,บาท,ราคาสูงสุด,33
61,1,กรกฎาคม,บาท,ราคาต่ำสุด ,31
62,1,กรกฎาคม,บาท,ราคาสูงสุด,33
63,2,กรกฎาคม,บาท,ราคาต่ำสุด ,31
64,2,กรกฎาคม,บาท,ราคาสูงสุด,33
65,3,กรกฎาคม,บาท,ราคาต่ำสุด ,31
66,3,กรกฎาคม,บาท,ราคาสูงสุด,33
67,4,กรกฎาคม,บาท,ราคาต่ำสุด ,31
68,4,กรกฎาคม,บาท,ราคาสูงสุด,33
69,5,กรกฎาคม,บาท,ราคาต่ำสุด ,31
70,5,กรกฎาคม,บาท,ราคาสูงสุด,33
71,1,สิงหาคม,บาท,ราคาต่ำสุด ,32
72,1,สิงหาคม,บาท,ราคาสูงสุด,34
73,2,สิงหาคม,บาท,ราคาต่ำสุด ,32
74,2,สิงหาคม,บาท,ราคาสูงสุด,34
75,3,สิงหาคม,บาท,ราคาต่ำสุด ,32
76,3,สิงหาคม,บาท,ราคาสูงสุด,34
77,4,สิงหาคม,บาท,ราคาต่ำสุด ,32
78,4,สิงหาคม,บาท,ราคาสูงสุด,34
79,5,สิงหาคม,บาท,ราคาต่ำสุด ,-
80,5,สิงหาคม,บาท,ราคาสูงสุด,-
81,1,กันยายน,บาท,ราคาต่ำสุด ,32
82,1,กันยายน,บาท,ราคาสูงสุด,34
83,2,กันยายน,บาท,ราคาต่ำสุด ,32
84,2,กันยายน,บาท,ราคาสูงสุด,34
85,3,กันยายน,บาท,ราคาต่ำสุด ,33
86,3,กันยายน,บาท,ราคาสูงสุด,35
87,4,กันยายน,บาท,ราคาต่ำสุด ,33
88,4,กันยายน,บาท,ราคาสูงสุด,35
89,5,กันยายน,บาท,ราคาต่ำสุด ,-
90,5,กันยายน,บาท,ราคาสูงสุด,-
91,1,ตุลาคม,บาท,ราคาต่ำสุด ,30.5
92,1,ตุลาคม,บาท,ราคาสูงสุด,31
93,2,ตุลาคม,บาท,ราคาต่ำสุด ,29
94,2,ตุลาคม,บาท,ราคาสูงสุด,29
95,3,ตุลาคม,บาท,ราคาต่ำสุด ,31
96,3,ตุลาคม,บาท,ราคาสูงสุด,31
97,4,ตุลาคม,บาท,ราคาต่ำสุด ,32
98,4,ตุลาคม,บาท,ราคาสูงสุด,32
99,5,ตุลาคม,บาท,ราคาต่ำสุด ,-
100,5,ตุลาคม,บาท,ราคาสูงสุด,-
101,1,พฤศจิกายน,บาท,ราคาต่ำสุด ,29
102,1,พฤศจิกายน,บาท,ราคาสูงสุด,32
103,2,พฤศจิกายน,บาท,ราคาต่ำสุด ,32
104,2,พฤศจิกายน,บาท,ราคาสูงสุด,32
105,3,พฤศจิกายน,บาท,ราคาต่ำสุด ,32
106,3,พฤศจิกายน,บาท,ราคาสูงสุด,32
107,4,พฤศจิกายน,บาท,ราคาต่ำสุด ,35
108,4,พฤศจิกายน,บาท,ราคาสูงสุด,35
109,5,พฤศจิกายน,บาท,ราคาต่ำสุด ,-
110,5,พฤศจิกายน,บาท,ราคาสูงสุด,-
111,1,ธันวาคม,บาท,ราคาต่ำสุด ,29
112,1,ธันวาคม,บาท,ราคาสูงสุด,29
113,2,ธันวาคม,บาท,ราคาต่ำสุด ,23
114,2,ธันวาคม,บาท,ราคาสูงสุด,27
115,3,ธันวาคม,บาท,ราคาต่ำสุด ,24
116,3,ธันวาคม,บาท,ราคาสูงสุด,28
117,4,ธันวาคม,บาท,ราคาต่ำสุด ,24
118,4,ธันวาคม,บาท,ราคาสูงสุด,29.4
119,5,ธันวาคม,บาท,ราคาต่ำสุด ,-
120,5,ธันวาคม,บาท,ราคาสูงสุด,-
