อายุ,_id,ปี,หญิง,ชาย,รวม,ประเภทแรงงาน
15 - 19,1,2568,2138,3769,5907,แรงงานในระบบ
20 - 24,2,2568,35796,28743,64539,แรงงานในระบบ
25 - 29,3,2568,83647,81575,165221,แรงงานในระบบ
30 - 34,4,2568,101626,94020,195646,แรงงานในระบบ
35 - 39,5,2568,100414,101269,201683,แรงงานในระบบ
40 - 44,6,2568,91404,96985,188389,แรงงานในระบบ
45 - 49,7,2568,88312,93242,181554,แรงงานในระบบ
50 - 54,8,2568,48664,56641,105306,แรงงานในระบบ
55 - 59,9,2568,35601,45520,81122,แรงงานในระบบ
60 and over,10,2568,10024,17188,27212,แรงงานในระบบ
15 - 19,11,2567,905,4699,5604,แรงงานในระบบ
20 - 24,12,2567,34969,43557,78526,แรงงานในระบบ
25 - 29,13,2567,86865,83278,170144,แรงงานในระบบ
30 - 34,14,2567,98096,94849,192945,แรงงานในระบบ
35 - 39,15,2567,92622,87963,180585,แรงงานในระบบ
40 - 44,16,2567,76915,90799,167715,แรงงานในระบบ
45 - 49,17,2567,79874,76544,156418,แรงงานในระบบ
50 - 54,18,2567,55304,66144,121448,แรงงานในระบบ
55 - 59,19,2567,40395,45955,86350,แรงงานในระบบ
60 and over,20,2567,14612,20532,35144,แรงงานในระบบ
15 - 19,21,2566,2717,12399,15116,แรงงานในระบบ
20 - 24,22,2566,34440,44286,78726,แรงงานในระบบ
25 - 29,23,2566,85000,84141,169141,แรงงานในระบบ
30 - 34,24,2566,102794,97339,200133,แรงงานในระบบ
35 - 39,25,2566,104380,98347,202727,แรงงานในระบบ
40 - 44,26,2566,79716,87213,166929,แรงงานในระบบ
45 - 49,27,2566,83324,100399,183723,แรงงานในระบบ
50 - 54,28,2566,68075,80696,148771,แรงงานในระบบ
55 - 59,29,2566,48562,51105,99667,แรงงานในระบบ
60 and over,30,2566,10251,19321,29572,แรงงานในระบบ
15 - 19,31,2565,1104,9362,10466,แรงงานในระบบ
20 - 24,32,2565,43748,49379,93127,แรงงานในระบบ
25 - 29,33,2565,90397,78571,168968,แรงงานในระบบ
30 - 34,34,2565,107814,101960,209774,แรงงานในระบบ
35 - 39,35,2565,95397,99941,195338,แรงงานในระบบ
40 - 44,36,2565,88436,103814,192250,แรงงานในระบบ
45 - 49,37,2565,61195,100385,161580,แรงงานในระบบ
50 - 54,38,2565,57512,73388,130900,แรงงานในระบบ
55 - 59,39,2565,37482,46825,84307,แรงงานในระบบ
60 and over,40,2565,14318,16299,30617,แรงงานในระบบ
15 - 19,41,2564,2776,1086,3862,แรงงานในระบบ
20 - 24,42,2564,28450,27519,55969,แรงงานในระบบ
25 - 29,43,2564,76248,74284,150532,แรงงานในระบบ
30 - 34,44,2564,93338,91974,185312,แรงงานในระบบ
35 - 39,45,2564,87500,97706,185206,แรงงานในระบบ
40 - 44,46,2564,67838,83188,151026,แรงงานในระบบ
45 - 49,47,2564,62891,92395,155286,แรงงานในระบบ
50 - 54,48,2564,50640,65282,115922,แรงงานในระบบ
55 - 59,49,2564,29369,44273,73642,แรงงานในระบบ
60 and over,50,2564,7535,18404,25939,แรงงานในระบบ
15 - 19,51,2563,1980,2833,4813,แรงงานในระบบ
20 - 24,52,2563,31376,32452,63828,แรงงานในระบบ
25 - 29,53,2563,81840,76490,158330,แรงงานในระบบ
30 - 34,54,2563,94555,96429,190984,แรงงานในระบบ
35 - 39,55,2563,94242,89087,183329,แรงงานในระบบ
40 - 44,56,2563,89013,77684,166697,แรงงานในระบบ
45 - 49,57,2563,64724,84643,149367,แรงงานในระบบ
50 - 54,58,2563,43845,60690,104535,แรงงานในระบบ
55 - 59,59,2563,26045,48217,74262,แรงงานในระบบ
60 and over,60,2563,6377,14087,20464,แรงงานในระบบ
15 - 19,61,2562,7684,9326,17010,แรงงานในระบบ
20 - 24,62,2562,25924,37345,63269,แรงงานในระบบ
25 - 29,63,2562,91775,79602,171377,แรงงานในระบบ
30 - 34,64,2562,89552,95455,185007,แรงงานในระบบ
35 - 39,65,2562,79323,90746,170069,แรงงานในระบบ
40 - 44,66,2562,68834,76199,145033,แรงงานในระบบ
45 - 49,67,2562,63082,73581,136663,แรงงานในระบบ
50 - 54,68,2562,36135,72877,109012,แรงงานในระบบ
55 - 59,69,2562,22597,32825,55422,แรงงานในระบบ
60 and over,70,2562,4860,16164,21024,แรงงานในระบบ
15 - 19,71,2561,1423,4313,5736,แรงงานในระบบ
20 - 24,72,2561,38292,29288,67580,แรงงานในระบบ
25 - 29,73,2561,82841,87523,170364,แรงงานในระบบ
30 - 34,74,2561,80156,90697,170853,แรงงานในระบบ
35 - 39,75,2561,84279,95995,180274,แรงงานในระบบ
40 - 44,76,2561,76403,82671,159074,แรงงานในระบบ
45 - 49,77,2561,65355,66150,131505,แรงงานในระบบ
50 - 54,78,2561,42624,73875,116499,แรงงานในระบบ
55 - 59,79,2561,21481,25940,47421,แรงงานในระบบ
60 and over,80,2561,7102,18231,25333,แรงงานในระบบ
15 - 19,81,2560,5302,6345,11647,แรงงานในระบบ
20 - 24,82,2560,31518,35177,66695,แรงงานในระบบ
25 - 29,83,2560,89463,80717,170180,แรงงานในระบบ
30 - 34,84,2560,66746,93397,160143,แรงงานในระบบ
35 - 39,85,2560,72874,103002,175876,แรงงานในระบบ
40 - 44,86,2560,66239,78902,145141,แรงงานในระบบ
45 - 49,87,2560,67860,64261,132121,แรงงานในระบบ
50 - 54,88,2560,34445,42742,77187,แรงงานในระบบ
55 - 59,89,2560,13897,24283,38180,แรงงานในระบบ
60 and over,90,2560,5269,15762,21031,แรงงานในระบบ
15 - 19,91,2559,2476,9638,12114,แรงงานในระบบ
20 - 24,92,2559,32268,35987,68255,แรงงานในระบบ
25 - 29,93,2559,89652,81915,171567,แรงงานในระบบ
30 - 34,94,2559,89487,99692,189179,แรงงานในระบบ
35 - 39,95,2559,97296,101311,198607,แรงงานในระบบ
40 - 44,96,2559,78995,81185,160180,แรงงานในระบบ
45 - 49,97,2559,57850,83083,140933,แรงงานในระบบ
50 - 54,98,2559,37515,55627,93142,แรงงานในระบบ
55 - 59,99,2559,17772,33629,51401,แรงงานในระบบ
60 and over,100,2559,12031,7984,20015,แรงงานในระบบ
15 - 19,101,2568,1711,0,1711,แรงงานนอกระบบ
20 - 24,102,2568,0,9234,9234,แรงงานนอกระบบ
25 - 29,103,2568,9781,9095,18877,แรงงานนอกระบบ
30 - 34,104,2568,5671,8868,14538,แรงงานนอกระบบ
35 - 39,105,2568,4927,8773,13700,แรงงานนอกระบบ
40 - 44,106,2568,11170,14314,25484,แรงงานนอกระบบ
45 - 49,107,2568,16077,17596,33673,แรงงานนอกระบบ
50 - 54,108,2568,26209,39500,65708,แรงงานนอกระบบ
55 - 59,109,2568,22794,24658,47452,แรงงานนอกระบบ
60 and over,110,2568,27448,31430,58878,แรงงานนอกระบบ
15 - 19,111,2567,2431,927,3358,แรงงานนอกระบบ
20 - 24,112,2567,1591,8089,9680,แรงงานนอกระบบ
25 - 29,113,2567,2892,7760,10652,แรงงานนอกระบบ
30 - 34,114,2567,10755,10604,21359,แรงงานนอกระบบ
35 - 39,115,2567,11791,19290,31082,แรงงานนอกระบบ
40 - 44,116,2567,7411,19529,26940,แรงงานนอกระบบ
45 - 49,117,2567,29639,25373,55012,แรงงานนอกระบบ
50 - 54,118,2567,16324,27072,43396,แรงงานนอกระบบ
55 - 59,119,2567,23047,22231,45277,แรงงานนอกระบบ
60 and over,120,2567,24405,29847,54252,แรงงานนอกระบบ
15 - 19,121,2566,863,2807,3670,แรงงานนอกระบบ
20 - 24,122,2566,9502,7028,16530,แรงงานนอกระบบ
25 - 29,123,2566,4627,8391,13018,แรงงานนอกระบบ
30 - 34,124,2566,9726,8152,17878,แรงงานนอกระบบ
35 - 39,125,2566,2374,3963,6337,แรงงานนอกระบบ
40 - 44,126,2566,10870,13221,24091,แรงงานนอกระบบ
45 - 49,127,2566,10410,14111,24521,แรงงานนอกระบบ
50 - 54,128,2566,11952,15262,27214,แรงงานนอกระบบ
55 - 59,129,2566,10691,10639,21330,แรงงานนอกระบบ
60 and over,130,2566,34947,22441,57388,แรงงานนอกระบบ
15 - 19,131,2565,920,0,920,แรงงานนอกระบบ
20 - 24,132,2565,1334,1895,3229,แรงงานนอกระบบ
25 - 29,133,2565,0,9702,9702,แรงงานนอกระบบ
30 - 34,134,2565,0,2083,2083,แรงงานนอกระบบ
35 - 39,135,2565,2511,7727,10238,แรงงานนอกระบบ
40 - 44,136,2565,5703,2521,8224,แรงงานนอกระบบ
45 - 49,137,2565,13323,9466,22789,แรงงานนอกระบบ
50 - 54,138,2565,16427,21710,38137,แรงงานนอกระบบ
55 - 59,139,2565,3677,10629,14306,แรงงานนอกระบบ
60 and over,140,2565,9453,12793,22246,แรงงานนอกระบบ
15 - 19,141,2564,2886,8025,10911,แรงงานนอกระบบ
20 - 24,142,2564,2674,3776,6450,แรงงานนอกระบบ
25 - 29,143,2564,8459,11128,19587,แรงงานนอกระบบ
30 - 34,144,2564,7066,13704,20770,แรงงานนอกระบบ
35 - 39,145,2564,8023,11351,19374,แรงงานนอกระบบ
40 - 44,146,2564,13683,18851,32534,แรงงานนอกระบบ
45 - 49,147,2564,17685,10725,28410,แรงงานนอกระบบ
50 - 54,148,2564,13296,22449,35745,แรงงานนอกระบบ
55 - 59,149,2564,21436,10929,32365,แรงงานนอกระบบ
60 and over,150,2564,25998,27197,53195,แรงงานนอกระบบ
15 - 19,151,2563,759,1068,1827,แรงงานนอกระบบ
20 - 24,152,2563,7512,2445,9957,แรงงานนอกระบบ
25 - 29,153,2563,4853,8610,13463,แรงงานนอกระบบ
30 - 34,154,2563,5522,10691,16213,แรงงานนอกระบบ
35 - 39,155,2563,9003,15575,24578,แรงงานนอกระบบ
40 - 44,156,2563,10557,19430,29987,แรงงานนอกระบบ
45 - 49,157,2563,10947,13338,24285,แรงงานนอกระบบ
50 - 54,158,2563,20827,19150,39977,แรงงานนอกระบบ
55 - 59,159,2563,12474,18756,31230,แรงงานนอกระบบ
60 and over,160,2563,23056,18824,41880,แรงงานนอกระบบ
15 - 19,161,2562,1203,0,1203,แรงงานนอกระบบ
20 - 24,162,2562,3129,6733,9862,แรงงานนอกระบบ
25 - 29,163,2562,10162,17399,27561,แรงงานนอกระบบ
30 - 34,164,2562,10158,6246,16404,แรงงานนอกระบบ
35 - 39,165,2562,20828,14480,35308,แรงงานนอกระบบ
40 - 44,166,2562,13872,16249,30121,แรงงานนอกระบบ
45 - 49,167,2562,20261,28556,48817,แรงงานนอกระบบ
50 - 54,168,2562,22137,20399,42536,แรงงานนอกระบบ
55 - 59,169,2562,10353,16304,26657,แรงงานนอกระบบ
60 and over,170,2562,19951,21301,41252,แรงงานนอกระบบ
15 - 19,171,2561,3580,0,3580,แรงงานนอกระบบ
20 - 24,172,2561,2891,8891,11782,แรงงานนอกระบบ
25 - 29,173,2561,13575,6519,20094,แรงงานนอกระบบ
30 - 34,174,2561,13275,11928,25203,แรงงานนอกระบบ
35 - 39,175,2561,19075,11330,30405,แรงงานนอกระบบ
40 - 44,176,2561,13045,15312,28357,แรงงานนอกระบบ
45 - 49,177,2561,13706,24710,38416,แรงงานนอกระบบ
50 - 54,178,2561,15924,17447,33371,แรงงานนอกระบบ
55 - 59,179,2561,10566,16471,27037,แรงงานนอกระบบ
60 and over,180,2561,18281,20985,39266,แรงงานนอกระบบ
15 - 19,181,2560,2499,3026,5525,แรงงานนอกระบบ
20 - 24,182,2560,5197,4029,9226,แรงงานนอกระบบ
25 - 29,183,2560,8829,8977,17806,แรงงานนอกระบบ
30 - 34,184,2560,23063,11982,35045,แรงงานนอกระบบ
