เดือน,จำนวน,จังหวัด,_id,ปี,อปท,อำเภอ,รายการ,ปีงบประมาณ,หน่วย
10,38,ลำพูน,1,2563,เทศบาลตำบลทุ่งหัวช้าง,ทุ่งหัวช้าง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,187.114,ลำพูน,2,2563,อบต.ตะเคียนปม,ทุ่งหัวช้าง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,12,ลำพูน,3,2563,อบต.ทุ่งหัวช้าง,ทุ่งหัวช้าง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,3.132,ลำพูน,4,2563,อบต.บ้านปวง,ทุ่งหัวช้าง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,119.005,ลำพูน,5,2563,เทศบาลตำบลบ้านธิ,บ้านธิ,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,71.001,ลำพูน,6,2563,อบต.ห้วยยาบ,บ้านธิ,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,102.137,ลำพูน,7,2563,เทศบาลตำบลบ้านโฮ่ง,บ้านโฮ่ง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,57.22,ลำพูน,8,2563,เทศบาลตำบลศรีเตี้ย,บ้านโฮ่ง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,64,ลำพูน,9,2563,อบต.ป่าพลู,บ้านโฮ่ง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,3.3,ลำพูน,10,2563,อบต.เวียงกานต์,บ้านโฮ่ง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,108.572,ลำพูน,11,2563,อบต.หนองปลาสะวาย,บ้านโฮ่ง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,181.42,ลำพูน,12,2563,อบต.เหล่ายาว,บ้านโฮ่ง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,135,ลำพูน,13,2563,เทศบาลตำบลป่าซาง,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,122.01,ลำพูน,14,2563,เทศบาลตำบลม่วงน้อย,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,159.579,ลำพูน,15,2563,เทศบาลตำบลมะกอก,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,179.58,ลำพูน,16,2563,เทศบาลตำบลแม่แรง,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,157.271,ลำพูน,17,2563,อบต.ท่าตุ้ม,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,239.476,ลำพูน,18,2563,อบต.นครเจดีย์,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,337.683,ลำพูน,19,2563,อบต.น้ำดิบ,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,110.865,ลำพูน,20,2563,อบต.บ้านเรือน,ป่าซาง,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,541.849,ลำพูน,21,2563,เทศบาลเมืองลำพูน,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,396.4,ลำพูน,22,2563,เทศบาลตำบลต้นธง,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,59.07,ลำพูน,23,2563,เทศบาลตำบลท่าเชียงทอง,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,631.59,ลำพูน,24,2563,เทศบาลตำบลบ้านกลาง,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,98.41,ลำพูน,25,2563,เทศบาลตำบลบ้านแป้น,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,53.19,ลำพูน,26,2563,เทศบาลตำบลประตูป่า,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,414.11,ลำพูน,27,2563,เทศบาลตำบลป่าสัก,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,303.765,ลำพูน,28,2563,เทศบาลตำบลมะเขือแจ้,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,116.65,ลำพูน,29,2563,เทศบาลตำบลริมปิง,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
10,152,ลำพูน,30,2563,เทศบาลตำบลเวียงยอง,เมืองลำพูน,ปริมาณขยะมูลฝอยชุมชนที่เกิดขึ้น,2564,ตัน
