ประเภทโรงงาน,จำนวน,_id,ปี,ชื่อโรงงาน,ทะเบียนโรงงาน,อำเภอ,รายการ,หน่วย
โรงงานที่มีการใช้หม้อน้ำ ,1,1,2569,บริษัท โกลคอนด้า เอเชีย จำกัด,20510100725591 [จ3-2(9)-7/59ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,2,2569,บริษัท เบทาโกร จำกัด (มหาชน),10510001625504 [3-15(1)-16/50ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,3,2569,บริษัท สหโคเจน กรีน จำกัด ,10510001125539 [3-34(4)-11/53ลพ	],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,4,2569,บริษัท แบมบูพลายวู้ดลำพูน จำกัด,10510100125224 [	3-34(3)-1/22ลพ	],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,5,2569,บริษัท เอ็ม เอส พี อินเตอร์ฟู้ดส์ จำกัด,20510001925472 [จ3-4(1)-19/47ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,6,2569,บริษัท เอ็ม เอส พี อินเตอร์ฟู้ดส์ จำกัด,20510002725608 [จ3-4(1)-27/60ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,7,2569,บริษัท เอ็ม เอส พี อินเตอร์ฟู้ดส์ จำกัด (โรงฆ่าไก่),20510001725633 [จ3-4(1)-1/63ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,8,2569,บริษัท บีโปรดักส์ อินดัสตรี้ จำกัด,20510000225478 [จ3-5(3)-2/47ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,9,2569,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด (โรงแปรรูปสุกร),20510093725632 [จ3-4(1)-8/63ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
โรงงานที่มีการใช้หม้อน้ำ ,1,10,2569,บริษัท กสิสุรีย์ จำกัด,00510000125359 [ศ3-7(1)-1/35ลพ],เมืองลำพูน,โรงงานที่มีความเสี่ยงเกิดปัญหาฝุ่นละอองขนาดเล็ก (PM2.5) จังหวัดลำพูน,แห่ง
