ค่าข้อมูล,ที่มา,_id,ปี,รายการ,หน่วย
225,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,1,2564,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ,แห่ง
277,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,2,2565,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ,แห่ง
244,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,3,2566,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ,แห่ง
244,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,4,2567,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ,แห่ง
220,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,5,2568,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ,แห่ง
