มูลค่าผลผลิตรวม,ชนิดพืช,_id,ปี,ผลผลิตเฉลี่ย,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
3073.77,ทุเรียน,1,2560,1796,44483,69.1,34911
1109.19,มังคุด,2,2560,682,23900,46.41,38790
2412.38,เงาะ,3,2560,1742,84349,28.6,51763
192.77,ลองกอง,4,2560,518,5530,34.86,11236
4102.82,ยางพารา,5,2560,222,62334,65.82,341917
638.48,ปาล์มน้ำมัน,6,2560,2344,143158,4.46,62084
38.07,ข้าวนาปี,7,2560,409,5077,7.5,12472
48.44,สับปะรดโรงงาน,8,2560,3682,19378,2.5,5760
471.18,สับปะรดตราดสีทอง,9,2560,4329,50939,9.25,18283
2718.39,ทุเรียน,10,2561,1610,38951,69.79,36893
1233.87,มังคุด,11,2561,398,14583,84.61,38863
1889.29,เงาะ,12,2561,1554,76181,24.8,51904
101.43,ลองกอง,13,2561,353,2971,34.14,8987
1699.35,ยางพารา,14,2561,206,62179,27.33,338597
535.73,ปาล์มน้ำมัน,15,2561,2615,160399,3.34,63107
65.29,ข้าวนาปี,16,2561,449,6873,9.5,15348
59.77,สับปะรดโรงงาน,17,2561,3837,18621,3.21,4919
400.43,สับปะรดตราดสีทอง,18,2561,3490,40407,9.91,16133
4575.01,ทุเรียน,19,2562,1846,48358,95,40439
1904.48,มังคุด,20,2562,929,34627,55,48923
2345.82,เงาะ,21,2562,1762,86886,27,52590
135.29,ลองกอง,22,2562,464,3443,30,8297
3398.48,ยางพารา,23,2562,204,60488,23.12,337707
508.26,ปาล์มน้ำมัน,24,2562,2819,132293,2.95,63861
60.43,ข้าวนาปี,25,2562,497,6361,9.5,14415
66.57,สับปะรดโรงงาน,26,2562,3605,20739,3.23,6239
546.36,สับปะรดตราดสีทอง,27,2562,3596,54438,10.04,16003
5564.04,ทุเรียน,28,2563,1993,55176,100.84,45239
1780.32,มังคุด,29,2563,1113,41880,42.51,39547
1572.2,เงาะ,30,2563,2065,104248,15.08,53526
116.23,ลองกอง,31,2563,540,4056,28.66,7530
2313.09,ยางพารา,32,2563,206,59128,39.12,329964
689.39,ปาล์มน้ำมัน,33,2563,2710,172263,4,64808
55.23,ข้าวนาปี,34,2563,443,6734,8.2,14142
170.94,สับปะรดโรงงาน,35,2563,3307,18263,9.36,5698
557.44,สับปะรดตราดสีทอง,36,2563,3528,53446,10.43,16560
6280.69,ทุเรียน,37,2564,1773,56844,110.49,59199
1912.79,มังคุด,38,2564,596,22377,85.48,39696
2162.68,เงาะ,39,2564,1911,93179,23.21,52791
122.1,ลองกอง,40,2564,504,3405,35.86,6771
1378.29,ยางพารา,41,2564,221,54694,25.2,316473
1063.4,ปาล์มน้ำมัน,42,2564,2694,167729,6.34,64156
39.53,ข้าวนาปี,43,2564,445,6176,6.4,14114
82.57,สับปะรดโรงงาน,44,2564,3164,13426,6.15,5738
471.97,สับปะรดตราดสีทอง,45,2564,3231,55591,8.49,17923
