_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ประกอบกิจการ,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,เงินลงทุนรวม,TSIC,รหัสประเภท
11,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ท่าทรายโชคบริบูรณ์,ดูดทรายและกรวด,2561,บางทรายน้อย,หว้านใหญ่,2500000,8103,304
12,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ท่าทรายนางสาววาสนา กำยาน,ดูดทรายและกรวด,2562,บางทรายน้อย,หว้านใหญ่,2000000,8103,304
13,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,ฆ่าและชำแหละโคขุน,2560,มุกดาหาร,เมืองมุกดาหาร,27888800,10111,401
14,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,ฆ่าและชำแหละโคขุน,2550,หนองสูงเหนือ,หนองสูง,47270000,10111,401
15,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ลูกชิ้นสมศักดิ์,ผลิตลูกชิ้นและหมูยอจากเนื้อสัตว์,2556,นาสีนวน,เมืองมุกดาหาร,4500000,10139,403
16,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท เอ็นเนอร์โกร (ประเทศไทย) จำกัด,"สกัดและผลิตน้ำมัน CBD, น้ำมันเมล็ดกัญชง (Hemp Seed Oil) แปรรูปผลผลิตจาก กัญชง และสมุนไพร",2564,คำอาฮวน,เมืองมุกดาหาร,124332000,10491,701
17,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,สุริยาการค้า,สีข้าว ชนิดแยกแกลบแยกรำกำลังสูงสุด 15 เกวียน/วัน,2546,น้ำเที่ยง,คำชะอี,700000,10611,901
18,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด สมบูรณ์พูนผล,สีข้าว,2554,คำป่าหลาย,เมืองมุกดาหาร,60000000,10611,901
19,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท มุกดาธัญญทิพย์ จำกัด,สีข้าว (รวมกำลังสีสูงสุดของร้านสีข้าวได้ 210 เกวียนต่อวัน เท่าสิทธิเดิม) และอบข้าวเปลือก,2514,มุกดาหาร,เมืองมุกดาหาร,24200000,10611,901
20,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด โรงสีกิมเจ็กซินมุกดาหาร,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,2527,มุกดาหาร,เมืองมุกดาหาร,1400000,10611,901
21,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท โรงสีมุกธัญญา จำกัด,สีข้าว,2555,มุกดาหาร,เมืองมุกดาหาร,280000000,10611,901
22,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ไทยปราณี,สีข้าวชนิดแยกแกลบแยกรำ ,2546,บ้านเป้า,หนองสูง,490000,10611,901
23,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ชนัญญาการเกษตร,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 80 เกวียนต่อวัน,2560,หว้านใหญ่,หว้านใหญ่,10500000,10611,901
24,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ดงหลวง ควอลลิตี้ สตาร์ช จำกัด,ทำแป้งมันสำปะหลัง (กำลังการผลิตสูงสุด 50 ตันแป้ง/วัน),2553,หนองแคน,ดงหลวง,1057500000,10622,902
25,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2550,คำป่าหลาย,เมืองมุกดาหาร,110000000,10612,902
26,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2559,คำป่าหลาย,เมืองมุกดาหาร,105000000,10612,902
27,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท พรีเมียร์โมดิไฟด์สตาร์ช จำกัด,ผลิตแป้งมันสำปะหลังดัดแปร,2559,คำป่าหลาย,เมืองมุกดาหาร,605000000,10612,902
28,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,สุรัญญาพืชผล,ทำมันเส้น,2555,น้ำเที่ยง,คำชะอี,2800000,10621,906
29,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ลานมันสุวิทย์พืชผล,ทำมันเส้น,2556,หนองแคน,ดงหลวง,6000000,10621,906
30,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ทำมันเส้น,2551,คำป่าหลาย,เมืองมุกดาหาร,2500000,10621,906
31,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท สหเรือง จำกัด,ผลิตน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังผลิต 5992 ตันอ้อย/วัน,2536,บางทรายใหญ่,เมืองมุกดาหาร,504000000,10721,1103
32,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท กิมชุนไอซ์ ดอนตาล จำกัด,ผลิตน้ำแข็งหลอดและน้ำดื่ม,2566,โพธิ์ไทร,ดอนตาล,34000000,10795,1400
33,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท กิมชุนไอซ์ นิคมคำสร้อย จำกัด,ทำน้ำแข็งก้อนเล็กและผลิตน้ำดื่มในภาชนะปิดผนึก,2560,นิคมคำสร้อย,นิคมคำสร้อย,14300000,10795,1400
34,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ชื่นชนก,ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 37 ตัน,2545,บางทรายใหญ่,เมืองมุกดาหาร,5000000,10795,1400
35,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท กิมชุนไอซ์ มุกดาหาร จำกัด,ผลิตน้ำแข็งก้อนเล็ก,2559,กุดแข้,เมืองมุกดาหาร,27000000,10795,1400
36,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท เกียรติมุกดา พรีเมี่ยมไอซ์ จำกัด,ทำน้ำแข็ง,2560,คำอาฮวน,เมืองมุกดาหาร,85000000,10795,1400
37,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด กรเดชมุกดาหาร,ทำน้ำแข็งก้อนเล็ก กำลังการผลิตสูงสุด 220 ตัน/วัน,2553,บางทรายใหญ่,เมืองมุกดาหาร,49500000,10795,1400
38,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,โรงน้ำแข็งเกียรติมุกดา,ผลิตน้ำแข็งก้อนเล็ก,2535,มุกดาหาร,เมืองมุกดาหาร,23000000,10795,1400
39,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,โรงน้ำแข็งพีทีเอ็ม,ทำน้ำแข็งก้อนเล็กและผลิตน้ำดื่มในภาชนะปิดผนึก,2562,บางทรายใหญ่,เมืองมุกดาหาร,1800000,10795,1400
40,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท วารีเทพ มุกดาหาร จำกัด,ผลิตน้ำแข็ง,2565,บางทรายน้อย,หว้านใหญ่,31000000,10795,1400
41,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,โรงงานผลิตอาหารสัตว์หนองสูง,ผลิตอาหารสัตว์สำเร็จรูปสำหรับเลี้ยงสัตว์,2556,หนองสูงเหนือ,หนองสูง,47500000,10801,1501
42,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,น้ำดื่มโพธิ์ไทรวอเตอร์,ทำน้ำดื่ม และทำภาชนะบรรจุจากพลาสติก,2557,โพธิ์ไทร,ดอนตาล,12500000,11041,2001
43,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ชัยวัฒนาธร จำกัด,ซอยไม้แปรรูป,2542,มุกดาหาร,เมืองมุกดาหาร,1140000,16101,3401
44,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ฟ้ารุ่งค้าไม้ จำกัด,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่างหรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,2555,บางทรายใหญ่,เมืองมุกดาหาร,15000000,16220,3402
45,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ประทุมมาประดิษฐกรรมเฟอร์นิเจอร์,ผลิตและจำหน่ายวงกบ ประตู หน้าต่าง,2548,นาสีนวน,เมืองมุกดาหาร,3100000,16220,3402
46,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท เสริมชัย คอมเมิร์ซ จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2565,โชคชัย,นิคมคำสร้อย,55700000,16299,3404
47,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท มหาอนันต์ วู๊ดชิพ จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2566,กุดแข้,เมืองมุกดาหาร,6000000,16299,3404
48,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท มุกดาหาร วู๊ดชิพ จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2565,คำป่าหลาย,เมืองมุกดาหาร,45000000,16299,3404
49,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท อิสาน ทิมเบอร์ จำกัด,ผลิตชิ้นไม้สับที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี และไม้ยางพารา เพื่อจำหน่าย,2566,คำป่าหลาย,เมืองมุกดาหาร,11000000,16299,3404
50,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,นางสาวมานิดา ชะนะแรง,ทำภาชนะบรรจุภัณฑ์จากไม้ เช่น แพลเล็ท ลังไม้ เป็นต้น,2558,โพธิ์ไทร,ดอนตาล,5100000,16230,3601
51,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท ศรีรุ้งเฟอร์นิเจอร์ จำกัด,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ของอาคาร และผลิตภัณฑ์แปรรูปไม้เพื่อประดิษฐกรรม เช่น เครื่องเรือนที่ทำจากไม้ เฟอร์นิเจอร์ไม้ เป็นต้น,2564,กกแดง,นิคมคำสร้อย,57410000,16230,3601
52,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ไม้งาม,ผลิตผลิตภัณฑ์จากไม้ เช่น แจกันไม้ แก้วไม้ พานไม้ เป็นต้น,2562,ดงเย็น,เมืองมุกดาหาร,800000,16230,3601
53,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,อัดเศษกระดาษ และเศษโลหะ,2560,คำป่าหลาย,เมืองมุกดาหาร,2300000,23991,4001
54,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,เมืองโขงการเกษตร,ทำหรือผลิตปุ๋ยอินทรีย์อัดเม็ด,2554,คำอาฮวน,เมืองมุกดาหาร,1950000,20121,4301
55,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,บริษัท สุริยาขนส่งอุบล จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต,2566,หนองเอี่ยน,คำชะอี,16532000,19201,5004
56,สำนักงานอุตสาหกรรมจังหวัดมุกดาหาร ,บาท,ห้างหุ้นส่วนจำกัด เมืองทองทวีทรัพย์,ผลิตแอสฟัลท์ติกคอนกรีต กำลังการผลิตสูงสุด 90 ตัน/ชม.,2565,ดงหลวง,ดงหลวง,15000000,19209,5004
