ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ,จังหวัด
429279.93,423829.49,กำลังแรงงานรวม,1,2565,442680.78,440133.17,รวม,กำลังแรงงาน,สระบุรี
237619.33,233279.32,กำลังแรงงานรวม,2,2565,241976.58,242745.38,ชาย                         ,กำลังแรงงาน,สระบุรี
191660.59,190550.17,กำลังแรงงานรวม,3,2565,200704.2,197387.79,หญิง                        ,กำลังแรงงาน,สระบุรี
422594.07,414602.14,ผู้มีงานทำ,4,2565,431705.32,427215.88,รวม,กำลังแรงงาน,สระบุรี
232578.39,226465.34,ผู้มีงานทำ,5,2565,235209.9,234704.91,ชาย                         ,กำลังแรงงาน,สระบุรี
190015.68,188136.8,ผู้มีงานทำ,6,2565,196495.43,192510.96,หญิง                        ,กำลังแรงงาน,สระบุรี
5959.29,9227.35,ผู้ว่างงาน,7,2565,10975.45,12917.3,รวม,กำลังแรงงาน,สระบุรี
4729.42,6813.98,ผู้ว่างงาน,8,2565,6766.68,8040.47,ชาย                         ,กำลังแรงงาน,สระบุรี
1229.87,2413.37,ผู้ว่างงาน,9,2565,4208.77,4876.83,หญิง                        ,กำลังแรงงาน,สระบุรี
726.57,,รอฤดูกาล,10,2565,,,รวม,กำลังแรงงาน,สระบุรี
311.53,,รอฤดูกาล,11,2565,,,ชาย                         ,กำลังแรงงาน,สระบุรี
415.04,,รอฤดูกาล,12,2565,,,หญิง                        ,กำลังแรงงาน,สระบุรี
224396.07,227319.51,ผู้ไม่อยู่ในกำลังแรงงานรวม,13,2565,210123.22,211828.83,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
79154.67,82074.68,ผู้ไม่อยู่ในกำลังแรงงานรวม,14,2565,74304.42,73065.62,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
145241.41,145244.83,ผู้ไม่อยู่ในกำลังแรงงานรวม,15,2565,135818.8,138763.21,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
62662.57,71590.8,ทำงานบ้าน,16,2565,54867.25,66748.29,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
3757.03,4645.97,ทำงานบ้าน,17,2565,5146.67,4617.02,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
58905.55,66944.83,ทำงานบ้าน,18,2565,49720.58,62131.28,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
46436.26,49428.22,เรียนหนังสือ,19,2565,45743.25,42572.49,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
23394.59,24923.17,เรียนหนังสือ,20,2565,22874.61,22953.73,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
23041.67,24505.05,เรียนหนังสือ,21,2565,22868.64,19618.76,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
93122.33,86778.94,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,22,2565,86654.95,81346.37,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
40693.07,39653.33,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,23,2565,34949.55,33947.56,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
52429.26,47125.61,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,24,2565,51705.4,47398.81,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
22174.91,19521.54,อื่น ๆ,25,2565,22857.77,21161.67,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
11309.98,12852.2,อื่น ๆ,26,2565,11333.59,11547.31,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
10864.93,6669.34,อื่น ๆ,27,2565,11524.19,9614.36,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
425290.53,428369.76,กำลังแรงงานรวม,28,2566,424582.35,425051.46,รวม,กำลังแรงงาน,สระบุรี
238131.69,237831.55,กำลังแรงงานรวม,29,2566,239331.64,242996.69,ชาย                         ,กำลังแรงงาน,สระบุรี
187158.83,190538.21,กำลังแรงงานรวม,30,2566,185250.71,182054.77,หญิง                        ,กำลังแรงงาน,สระบุรี
419095.7,417997.95,ผู้มีงานทำ,31,2566,420183.84,414172.23,รวม,กำลังแรงงาน,สระบุรี
234112.77,231325.32,ผู้มีงานทำ,32,2566,235874.48,235906.87,ชาย                         ,กำลังแรงงาน,สระบุรี
184982.93,186672.63,ผู้มีงานทำ,33,2566,184309.36,178265.36,หญิง                        ,กำลังแรงงาน,สระบุรี
2775.77,9908.97,ผู้ว่างงาน,34,2566,4398.52,9768.29,รวม,กำลังแรงงาน,สระบุรี
2298.57,6043.39,ผู้ว่างงาน,35,2566,3457.17,6752.6,ชาย                         ,กำลังแรงงาน,สระบุรี
477.2,3865.58,ผู้ว่างงาน,36,2566,941.35,3015.68,หญิง                        ,กำลังแรงงาน,สระบุรี
3419.06,462.85,รอฤดูกาล,37,2566,,1110.95,รวม,กำลังแรงงาน,สระบุรี
1720.35,462.85,รอฤดูกาล,38,2566,,337.22,ชาย                         ,กำลังแรงงาน,สระบุรี
1698.71,,รอฤดูกาล,39,2566,,773.72,หญิง                        ,กำลังแรงงาน,สระบุรี
231864.47,226202.24,ผู้ไม่อยู่ในกำลังแรงงานรวม,40,2566,231792.65,230447.54,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
80596.3,79446.45,ผู้ไม่อยู่ในกำลังแรงงานรวม,41,2566,78949.36,74796.31,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
151268.17,146755.79,ผู้ไม่อยู่ในกำลังแรงงานรวม,42,2566,152843.29,155651.23,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
75376.62,67581.06,ทำงานบ้าน,43,2566,78225.22,76089.77,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
4709.11,4511.9,ทำงานบ้าน,44,2566,5972.47,5720.18,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
70667.51,63069.15,ทำงานบ้าน,45,2566,72252.75,70369.58,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
49955.9,47602.89,เรียนหนังสือ,46,2566,46900.06,46053.4,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
25548.59,23888.5,เรียนหนังสือ,47,2566,23879.08,24066.42,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
24407.31,23714.39,เรียนหนังสือ,48,2566,23020.98,21986.98,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
92386.57,94392.63,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,49,2566,89462.51,88747.68,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
41875.25,42583.06,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,50,2566,37974.42,35614.87,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
50511.31,51809.57,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,51,2566,51488.09,53132.81,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
14145.38,16625.66,อื่น ๆ,52,2566,17204.86,19556.69,รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
8463.36,8462.98,อื่น ๆ,53,2566,11123.39,9394.83,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
5682.03,8162.67,อื่น ๆ,54,2566,6081.47,10161.86,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
