โรงงาน,ลดปล่อยก๊าซ,กากใช้ใหม่,น้ำทิ้ง,_id,ปี,Eco Product,อาคาร,Eco Efficiency,ลดใช้พลังงาน,CSR,Eco Factory,เขต
91,29,31,24,1,2564,29,26,25,30,21,27,เขต IRPC
331,103,97,79,2,2564,65,74,44,100,52,96,เขตมาบตาพุด
98,32,39,32,3,2565,34,21,27,35,29,34,เขต IRPC
433,150,238,145,4,2565,147,102,122,155,89,154,เขตมาบตาพุด
