ชนิดพืช,_id,ปีการผลิต,เนื้อที่ปลูกพืช,หน่วย
ข้าวนาปี,1,2567/68,"95,487",ไร่
ข้าวโพดเลี้ยงสัตว์,2,2567/68,"50,930",ไร่
มันสำปะหลัง,3,2567/68,"9,017",ไร่
ลำไย,4,2567/68,"361,855",ไร่
หอมแดง,5,2567/68,"1,495",ไร่
กระเทียม,6,2567/68,"1,033",ไร่
ข้าวนาปี,7,2566/67,"95,928",ไร่
ข้าวโพดเลี้ยงสัตว์,8,2566/67,"55,803",ไร่
มันสำปะหลัง,9,2566/67,"9,572",ไร่
ลำไย,10,2566/67,"362,202",ไร่
หอมแดง,11,2566/67,"1,309",ไร่
กระเทียม,12,2566/67,"1,222",ไร่
ข้าวนาปี,13,2565/66,"99,627",ไร่
ข้าวโพดเลี้ยงสัตว์,14,2565/66,"75,581",ไร่
มันสำปะหลัง,15,2565/66,"6,556",ไร่
ลำไย,16,2565/66,"345,830",ไร่
หอมแดง,17,2565/66,"1,598",ไร่
กระเทียม,18,2565/66,904,ไร่
ข้าว,19,2564/65,"100,674",ไร่
ข้าวโพดเลี้ยงสัตว์,20,2564/65,84836,ไร่
มันสำปะหลัง,21,2564/65,"5,469",ไร่
ลำไย,22,2564/65,"367,943",ไร่
มะม่วง,23,2564/65,"46,529",ไร่
หอมแดง,24,2564/65,"1,989",ไร่
กระเทียม,25,2564/65,"1,799",ไร่
ข้าว,26,2563/64,"103,166",ไร่
ข้าวโพดเลี้ยงสัตว์,27,2563/64,"79,991",ไร่
มันสำปะหลัง,28,2563/64,4017,ไร่
ลำไย,29,2563/64,362298,ไร่
มะม่วง,30,2563/64,30374,ไร่
หอมแดง,31,2563/64,1728,ไร่
กระเทียม,32,2563/64,1693,ไร่
ข้าว,33, 2562/63,106134,ไร่
ข้าวโพดเลี้ยงสัตว์,34, 2562/63,74986,ไร่
มันสำปะหลัง,35, 2562/63,3046,ไร่
ลำไย,36, 2562/63,348570,ไร่
มะม่วง,37, 2562/63,30439,ไร่
หอมแดง,38, 2562/63,1593,ไร่
กระเทียม,39, 2562/63,879,ไร่
ข้าว,40, 2561/62,106621,ไร่
ข้าวโพดเลี้ยงสัตว์,41, 2561/62,76577,ไร่
มันสำปะหลัง,42, 2561/62,3740,ไร่
ลำไย,43, 2561/62,337180,ไร่
มะม่วง,44, 2561/62,22563,ไร่
หอมแดง,45, 2561/62,5116,ไร่
กระเทียม,46, 2561/62,5073,ไร่
