จำนวน,_id,ปี,แหล่งข้อมูล,หน่วยนับ,รายการ,ประเภทรถ,จังหวัด
"2,385",1,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
"2,604",2,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2523,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
"2,349",3,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2524,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
"1,624",4,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2525,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
99,5,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2526,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
58,6,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2527,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
55,7,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2528,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
59,8,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2529,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
"1,116",9,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2530,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
"1,094",10,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2531,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
746,11,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2532,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
530,12,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2533,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
0,13,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2534,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
1,14,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2535,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
0,15,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2536,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
0,16,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2537,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
8,17,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2538,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
0,18,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2539,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
4,19,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2540,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
3,20,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2541,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
"14,454",21,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2542,รถจักรยานยนต์,ปราจีนบุรี
"17,223",22,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2543,รถจักรยานยนต์,ปราจีนบุรี
"18,454",23,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2544,รถจักรยานยนต์,ปราจีนบุรี
"14,340",24,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2545,รถจักรยานยนต์,ปราจีนบุรี
317,25,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2546,รถแทรกเตอร์,ปราจีนบุรี
348,26,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2547,รถแทรกเตอร์,ปราจีนบุรี
265,27,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2548,รถแทรกเตอร์,ปราจีนบุรี
233,28,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2549,รถแทรกเตอร์,ปราจีนบุรี
10,29,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2550,รถบดถนน,ปราจีนบุรี
12,30,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2551,รถบดถนน,ปราจีนบุรี
1,31,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2552,รถบดถนน,ปราจีนบุรี
1,32,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2553,รถบดถนน,ปราจีนบุรี
10,33,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2554,รถพ่วง,ปราจีนบุรี
0,34,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2555,รถพ่วง,ปราจีนบุรี
3,35,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2556,รถพ่วง,ปราจีนบุรี
1,36,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2557,รถพ่วง,ปราจีนบุรี
0,37,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2558,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
4,38,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2559,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
2,39,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2560,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
4,40,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนใหม่ ตาม พรบ.2561,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
