จำนวน,_id,ปี,ประเภท
"175,711",1,2562,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
"185,626",2,2563,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
"193,869",3,2564,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
"203,308",4,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
"214,319",5,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
"5,050",6,2562,รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"5,226",7,2563,รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"5,340",8,2564,รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"5,404",9,2565,รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"5,714",10,2566,รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"126,956",11,2562,รถยนต์บรรทุกส่วนบุคคล
"128,466",12,2563,รถยนต์บรรทุกส่วนบุคคล
"129,424",13,2564,รถยนต์บรรทุกส่วนบุคคล
"130,311",14,2565,รถยนต์บรรทุกส่วนบุคคล
"130,629",15,2566,รถยนต์บรรทุกส่วนบุคคล
2,16,2562,รถยนต์สามล้อส่วนบุคคล
2,17,2563,รถยนต์สามล้อส่วนบุคคล
1,18,2564,รถยนต์สามล้อส่วนบุคคล
9,19,2565,รถยนต์สามล้อส่วนบุคคล
10,20,2566,รถยนต์สามล้อส่วนบุคคล
 -   ,21,2562,รถยนต์รับจ้างระหว่างจังหวัด
 -   ,22,2563,รถยนต์รับจ้างระหว่างจังหวัด
 -   ,23,2564,รถยนต์รับจ้างระหว่างจังหวัด
 -   ,24,2565,รถยนต์รับจ้างระหว่างจังหวัด
 -   ,25,2566,รถยนต์รับจ้างระหว่างจังหวัด
22,26,2562,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน
22,27,2563,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน
19,28,2564,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน
19,29,2565,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน
17,30,2566,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน
 -   ,31,2562,รถยนต์สี่ล้อเล็กรับจ้าง
 -   ,32,2563,รถยนต์สี่ล้อเล็กรับจ้าง
 -   ,33,2564,รถยนต์สี่ล้อเล็กรับจ้าง
 -   ,34,2565,รถยนต์สี่ล้อเล็กรับจ้าง
 -   ,35,2566,รถยนต์สี่ล้อเล็กรับจ้าง
1,36,2562,รถยนต์รับจ้างสามล้อ
 -   ,37,2563,รถยนต์รับจ้างสามล้อ
 -   ,38,2564,รถยนต์รับจ้างสามล้อ
1,39,2565,รถยนต์รับจ้างสามล้อ
