ประเภท,_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,ปีก่อตั้ง
ก่อผลกระทบด้านฝุ่น,28,2568,ห้างหุ้นส่วนจำกัด พี.ที.ที,ผลิตแอสฟัลท์ติกคอนกรีต,บ้านถ่อน,ท่าบ่อ,2563
ก่อผลกระทบด้านฝุ่น,29,2568,บริษัท สินทรัพย์อนันต์ จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต อัตราการผลิต 80 ตัน/ชั่วโมง,บ้านถ่อน,ท่าบ่อ,2563
ไม่ก่อผลกระทบด้านฝุ่น,30,2568,โรงงานหลังคาเหล็ก เอสพีจี เมทัลชีท,ผลิตแผ่นหลังคาเหล็ก ขึ้นรูป รีด ตัด และพับโลหะทั่วไป,กองนาง,ท่าบ่อ,2564
ก่อผลกระทบด้านฝุ่น,31,2568,เส้นก๋วยเตี๋ยวท่าบ่อ,ทำเส้นก๋วยเตี๋ยว,ท่าบ่อ,ท่าบ่อ,2564
ก่อผลกระทบด้านฝุ่น,32,2568,ท่อบ่อเส้นก๋วยเตี๋ยว kkk (ตองเค),ทำเส้นก๋วยเตี๋ยว,ท่าบ่อ,ท่าบ่อ,2564
ก่อผลกระทบด้านฝุ่น,33,2568,ห้างหุ้นส่วนจำกัด อุดรรุ่งนิรันดร์,ผลิตคอนกรีตผสมเสร็จ,บ้านว่าน,ท่าบ่อ,2564
ก่อผลกระทบด้านฝุ่น,34,2568,บริษัท เคแพค คอนสตรัคชั่น จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต,บ้านถ่อน,ท่าบ่อ,2565
ก่อผลกระทบด้านฝุ่น,35,2568,บริษัท พรประชา 1999 จำกัด,ผลิตแอสฟัลติกส์คอนกรีต กำลังการผลิต 80 ตัน/ชั่วโมง,บ้านถ่อน,ท่าบ่อ,2565
ก่อผลกระทบด้านฝุ่น,36,2568,ห้างหุ้นส่วนจำกัด ทิพวรรณวัสดุก่อสร้าง,ทำผลิตภัณฑ์คอนกรีตทุกชนิด เช่น คอนกรีตผสมเสร็จ อิฐบล็อกคอนกรีต แผ่นพื้นคอนกรีต และ ท่ออัดแรง,บ้านถ่อน,ท่าบ่อ,2565
ก่อผลกระทบด้านฝุ่น,37,2568,ห้างหุ้นส่วนจำกัด ปุริวัฒน์คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,บ้านถ่อน,ท่าบ่อ,2566
ก่อผลกระทบด้านฝุ่น,38,2568,โรงสีข้าวกำนันโสภณทรัพย์รุ่งเรือง,สีข้าว ขัด คัด ร่อน และคัดคุณภาพข้าวสาร (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),หนองนาง,ท่าบ่อ,2566
ก่อผลกระทบด้านฝุ่น,39,2568,ลานมันชัยมงคล,มันเส้น,วังหลวง,เฝ้าไร่,2543
ไม่ก่อผลกระทบด้านฝุ่น,40,2568,น้ำแข็งเฝ้าไร่,ทำน้ำแข็งก้อนเล็ก,เฝ้าไร่,เฝ้าไร่,2549
ไม่ก่อผลกระทบด้านฝุ่น,41,2568,บริษัท เจ ทรัพย์ แพค จำกัด,ผลิตภาชนะบรรจุจากพลาสติก เช่น ขวดน้ำดื่ม ถังน้ำดื่ม,หนองหลวง,เฝ้าไร่,2560
ก่อผลกระทบด้านฝุ่น,42,2568,ห้างหุ้นส่วนจำกัด โพธิ์ตาก คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,โพธิ์ตาก,โพธิ์ตาก,2559
ไม่ก่อผลกระทบด้านฝุ่น,43,2568,ห้างหุ้นส่วนจำกัด บุญทวีเอเซีย 1456,ทำน้ำแข็งก้อนเล็ก,วัดหลวง,โพนพิสัย,2532
ก่อผลกระทบด้านฝุ่น,44,2568,บริษัท ไทยหิรัญไรซ์มิลล์ จำกัด,สีข้าว และอบข้าวเปลือก (กำลังสีสูงสุดของร้านสี 120 เกวียน/วัน),จุมพล,โพนพิสัย,2537
ก่อผลกระทบด้านฝุ่น,45,2568,บริษัท ร่มโพธิ์ศรีสุริยะ จำกัด,"ดูดทราย (ทะเบียนเรือเลขที่ 537400414,597100553)",กุดบง,โพนพิสัย,2539
ก่อผลกระทบด้านฝุ่น,46,2568,บริษัท ฟ้าสยามก่อสร้าง จำกัด,ผลิตคอนกรีตผสมเสร็จ,จุมพล,โพนพิสัย,2539
