_id,ปี,ราคาที่เกษตรกรขายได้,รายได้เกษตรกร,ผลผลิต
1,2559,109.6,58.8,53.6
2,2560,105.2,95.7,91.0
3,2561,118.4,127.1,107.3
4,2562,117.9,116.6,98.9
5,2563,137.2,79.3,57.8
6,2564,131.8,79.5,60.3
7,2565,140.2,119.3,85.1
8,2566,165.9,168.3,101.4
9,2567,159.0,156.0,98.1
