เดือน,_id,ปี,อัตราส่วน
ม.ค.,1,2567,0.32
ก.พ.,2,2567,0.27
มี.ค.,3,2567,0.34
เม.ย.,4,2567,0.73
พ.ค.,5,2567,0.74
มิ.ย.,6,2567,0.66
ก.ค.,7,2567,0.55
ส.ค.,8,2567,0.46
ก.ย.,9,2567,0.46
ต.ค.,10,2567,0.63
พ.ย.,11,2567,0.65
ธ.ค.,12,2567,0.61
ม.ค.,13,2566,0.5
ก.พ.,14,2566,0.39
มี.ค.,15,2566,0.37
เม.ย.,16,2566,0.38
พ.ค.,17,2566,0.41
มิ.ย.,18,2566,0.39
ก.ค.,19,2566,0.28
ส.ค.,20,2566,0.43
ก.ย.,21,2566,0.33
ต.ค.,22,2566,0.52
พ.ย.,23,2566,0.56
ธ.ค.,24,2566,0.56
ม.ค.,25,2565,5.01
ก.พ.,26,2565,6.23
มี.ค.,27,2565,9.99
เม.ย.,28,2565,11.73
พ.ค.,29,2565,7.23
มิ.ย.,30,2565,4.92
ก.ค.,31,2565,3.51
ส.ค.,32,2565,2.88
ก.ย.,33,2565,2.85
ต.ค.,34,2565,2.27
พ.ย.,35,2565,1.61
ธ.ค.,36,2565,1.37
ม.ค.,37,2564,5.75
ก.พ.,38,2564,16.76
มี.ค.,39,2564,33.64
เม.ย.,40,2564,50.31
พ.ค.,41,2564,28.04
มิ.ย.,42,2564,35.18
ก.ค.,43,2564,32.69
ส.ค.,44,2564,29.3
ก.ย.,45,2564,84.6
ต.ค.,46,2564,151.79
พ.ย.,47,2564,50.02
ธ.ค.,48,2564,47.5
ม.ค.,49,2563,0.17
ก.พ.,50,2563,0.32
มี.ค.,51,2563,1.04
เม.ย.,52,2563,
พ.ค.,53,2563,0.07
มิ.ย.,54,2563,2.26
ก.ค.,55,2563,11.93
ส.ค.,56,2563,14.92
ก.ย.,57,2563,20.06
ต.ค.,58,2563,17.15
พ.ย.,59,2563,15.47
ธ.ค.,60,2563,32.39
