จำนวน,ที่มา,_id,ปี,อำเภอ,พืช,หน่วย
666.00,สำนักงานเกษตรจังหวัดอ่างทอง,1,2561,เมืองอ่างทอง,มะม่วง,ไร่
602.00,สำนักงานเกษตรจังหวัดอ่างทอง,2,2561,ไชโย,มะม่วง,ไร่
"1,132.00",สำนักงานเกษตรจังหวัดอ่างทอง,3,2561,ป่าโมก,มะม่วง,ไร่
"2,800.00",สำนักงานเกษตรจังหวัดอ่างทอง,4,2561,โพธิ์ทอง,มะม่วง,ไร่
"1,388.00",สำนักงานเกษตรจังหวัดอ่างทอง,5,2561,แสวงหา,มะม่วง,ไร่
"2,293.00",สำนักงานเกษตรจังหวัดอ่างทอง,6,2561,วิเศษชัยชาญ,มะม่วง,ไร่
"3,801.00",สำนักงานเกษตรจังหวัดอ่างทอง,7,2561,สามโก้,มะม่วง,ไร่
"1,953.00",สำนักงานเกษตรจังหวัดอ่างทอง,8,2561,เมืองอ่างทอง,กล้วยน้ำว้า,ไร่
"1,484.00",สำนักงานเกษตรจังหวัดอ่างทอง,9,2561,ไชโย,กล้วยน้ำว้า,ไร่
"2,330.00",สำนักงานเกษตรจังหวัดอ่างทอง,10,2561,ป่าโมก,กล้วยน้ำว้า,ไร่
"3,968.00",สำนักงานเกษตรจังหวัดอ่างทอง,11,2561,โพธิ์ทอง,กล้วยน้ำว้า,ไร่
"1,084.00",สำนักงานเกษตรจังหวัดอ่างทอง,12,2561,แสวงหา,กล้วยน้ำว้า,ไร่
891.00,สำนักงานเกษตรจังหวัดอ่างทอง,13,2561,วิเศษชัยชาญ,กล้วยน้ำว้า,ไร่
208.00,สำนักงานเกษตรจังหวัดอ่างทอง,14,2561,สามโก้,กล้วยน้ำว้า,ไร่
23.00,สำนักงานเกษตรจังหวัดอ่างทอง,15,2561,เมืองอ่างทอง,มะพร้าว,ไร่
173.00,สำนักงานเกษตรจังหวัดอ่างทอง,16,2561,ไชโย,มะพร้าว,ไร่
243.00,สำนักงานเกษตรจังหวัดอ่างทอง,17,2561,ป่าโมก,มะพร้าว,ไร่
57.00,สำนักงานเกษตรจังหวัดอ่างทอง,18,2561,โพธิ์ทอง,มะพร้าว,ไร่
111.00,สำนักงานเกษตรจังหวัดอ่างทอง,19,2561,แสวงหา,มะพร้าว,ไร่
192.00,สำนักงานเกษตรจังหวัดอ่างทอง,20,2561,วิเศษชัยชาญ,มะพร้าว,ไร่
81.00,สำนักงานเกษตรจังหวัดอ่างทอง,21,2561,สามโก้,มะพร้าว,ไร่
25.00,สำนักงานเกษตรจังหวัดอ่างทอง,22,2561,เมืองอ่างทอง,มะนาว,ไร่
105.00,สำนักงานเกษตรจังหวัดอ่างทอง,23,2561,ไชโย,มะนาว,ไร่
61.00,สำนักงานเกษตรจังหวัดอ่างทอง,24,2561,ป่าโมก,มะนาว,ไร่
216.50,สำนักงานเกษตรจังหวัดอ่างทอง,25,2561,โพธิ์ทอง,มะนาว,ไร่
515.00,สำนักงานเกษตรจังหวัดอ่างทอง,26,2561,แสวงหา,มะนาว,ไร่
164.00,สำนักงานเกษตรจังหวัดอ่างทอง,27,2561,วิเศษชัยชาญ,มะนาว,ไร่
50.00,สำนักงานเกษตรจังหวัดอ่างทอง,28,2561,สามโก้,มะนาว,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,29,2561,เมืองอ่างทอง,อ้อยโรงงาน,ไร่
202.00,สำนักงานเกษตรจังหวัดอ่างทอง,30,2561,ไชโย,อ้อยโรงงาน,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,31,2561,ป่าโมก,อ้อยโรงงาน,ไร่
"2,098.00",สำนักงานเกษตรจังหวัดอ่างทอง,32,2561,โพธิ์ทอง,อ้อยโรงงาน,ไร่
"12,049.00",สำนักงานเกษตรจังหวัดอ่างทอง,33,2561,แสวงหา,อ้อยโรงงาน,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,34,2561,วิเศษชัยชาญ,อ้อยโรงงาน,ไร่
380.50,สำนักงานเกษตรจังหวัดอ่างทอง,35,2561,สามโก้,อ้อยโรงงาน,ไร่
75.00,สำนักงานเกษตรจังหวัดอ่างทอง,36,2561,เมืองอ่างทอง,ข่า,ไร่
2.00,สำนักงานเกษตรจังหวัดอ่างทอง,37,2561,ไชโย,ข่า,ไร่
27.00,สำนักงานเกษตรจังหวัดอ่างทอง,38,2561,ป่าโมก,ข่า,ไร่
818.00,สำนักงานเกษตรจังหวัดอ่างทอง,39,2561,โพธิ์ทอง,ข่า,ไร่
334.00,สำนักงานเกษตรจังหวัดอ่างทอง,40,2561,แสวงหา,ข่า,ไร่
6.00,สำนักงานเกษตรจังหวัดอ่างทอง,41,2561,วิเศษชัยชาญ,ข่า,ไร่
22.00,สำนักงานเกษตรจังหวัดอ่างทอง,42,2561,สามโก้,ข่า,ไร่
15.00,สำนักงานเกษตรจังหวัดอ่างทอง,43,2561,เมืองอ่างทอง,ชะอม,ไร่
25.00,สำนักงานเกษตรจังหวัดอ่างทอง,44,2561,ไชโย,ชะอม,ไร่
58.00,สำนักงานเกษตรจังหวัดอ่างทอง,45,2561,ป่าโมก,ชะอม,ไร่
373.50,สำนักงานเกษตรจังหวัดอ่างทอง,46,2561,โพธิ์ทอง,ชะอม,ไร่
37.00,สำนักงานเกษตรจังหวัดอ่างทอง,47,2561,แสวงหา,ชะอม,ไร่
281.00,สำนักงานเกษตรจังหวัดอ่างทอง,48,2561,วิเศษชัยชาญ,ชะอม,ไร่
0.00,สำนักงานเกษตรจังหวัดอ่างทอง,49,2561,สามโก้,ชะอม,ไร่
20.00,สำนักงานเกษตรจังหวัดอ่างทอง,50,2561,เมืองอ่างทอง,มะกรูด,ไร่
38.00,สำนักงานเกษตรจังหวัดอ่างทอง,51,2561,ไชโย,มะกรูด,ไร่
118.00,สำนักงานเกษตรจังหวัดอ่างทอง,52,2561,ป่าโมก,มะกรูด,ไร่
