จำนวน,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
2,สำนักงานประกันสังคมจังหวัดพิจิตร,1,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,พิจิตร,คน
10,สำนักงานประกันสังคมจังหวัดพิจิตร,2,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,พิจิตร,คน
259,สำนักงานประกันสังคมจังหวัดพิจิตร,3,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 40,พิจิตร,คน
271,สำนักงานประกันสังคมจังหวัดพิจิตร,4,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิจิตร,คน
