จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
12.5,1,2566,ภาคการผลิต,อุตสาหกรรม ไตรมาส 1,ร้อยละ
11.9,2,2566,ภาคการผลิต,อุตสาหกรรม ไตรมาส 2,ร้อยละ
8.9,3,2566,ภาคการผลิต,อุตสาหกรรม ไตรมาส 3,ร้อยละ
8.9,4,2566,ภาคการผลิต,อุตสาหกรรม ไตรมาส 4,ร้อยละ
36.7,5,2566,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 1,ร้อยละ
34.6,6,2566,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 2,ร้อยละ
29.8,7,2566,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 3,ร้อยละ
32.5,8,2566,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 4,ร้อยละ
50.8,9,2566,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 1,ร้อยละ
53.5,10,2566,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 2,ร้อยละ
61.3,11,2566,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 3,ร้อยละ
58.6,12,2566,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 4,ร้อยละ
14.6,13,2567,ภาคการผลิต,อุตสาหกรรม ไตรมาส 1,ร้อยละ
10.7,14,2567,ภาคการผลิต,อุตสาหกรรม ไตรมาส 2,ร้อยละ
7.2,15,2567,ภาคการผลิต,อุตสาหกรรม ไตรมาส 3,ร้อยละ
9.2,16,2567,ภาคการผลิต,อุตสาหกรรม ไตรมาส 4,ร้อยละ
39.6,17,2567,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 1,ร้อยละ
37.7,18,2567,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 2,ร้อยละ
32,19,2567,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 3,ร้อยละ
33.2,20,2567,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 4,ร้อยละ
45.8,21,2567,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 1,ร้อยละ
51.6,22,2567,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 2,ร้อยละ
60.8,23,2567,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 3,ร้อยละ
57.6,24,2567,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 4,ร้อยละ
13.2,25,2568,ภาคการผลิต,อุตสาหกรรม ไตรมาส 1,ร้อยละ
9.7,26,2568,ภาคการผลิต,อุตสาหกรรม ไตรมาส 2,ร้อยละ
8.3,27,2568,ภาคการผลิต,อุตสาหกรรม ไตรมาส 3,ร้อยละ
38.3,28,2568,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 1,ร้อยละ
36,29,2568,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 2,ร้อยละ
33.5,30,2568,ภาคบริการและการค้า,อุตสาหกรรม ไตรมาส 3,ร้อยละ
48.5,31,2568,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 1,ร้อยละ
54.3,32,2568,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 2,ร้อยละ
58.2,33,2568,ภาคการเกษตร,อุตสาหกรรม ไตรมาส 3,ร้อยละ
