พื้นที่เก็บเกี่ยว,_id,หน่วย(บาท),พืชเศรษฐกิจ,ปี,มูลค่า,อำเภอ,หน่วย(ไร่),หน่วย(ตัน),ครัวเรือนเกษตรกร,หน่วย(ครัวเรือน),หน่วย(บาท_ตัน),ราคาหน้าฟาร์ม,ปริมาณผลผลิต
9058,1,ล้านบาท,ข้าว,2568,44.58,เมืองนครปฐม,ไร่,ตัน,600,ครัวเรือน,บาท_ตัน,6230,7156
22536,2,ล้านบาท,อ้อยโรงงาน,2568,366.71,เมืองนครปฐม,ไร่,ตัน,712,ครัวเรือน,บาท_ตัน,1200,305588
52,3,ล้านบาท,ส้มโอ,2568,8.08,เมืองนครปฐม,ไร่,ตัน,20,ครัวเรือน,บาท_ตัน,65690,123
612.75,4,ล้านบาท,ฝรั่ง,2568,54.18,เมืองนครปฐม,ไร่,ตัน,144,ครัวเรือน,บาท_ตัน,18420,2941.2
1871,5,ล้านบาท,มะพร้าวอ่อน,2568,53.89,เมืองนครปฐม,ไร่,ตัน,313,ครัวเรือน,บาท_ตัน,10250,5257.71
1574,6,ล้านบาท,คะน้า,2568,41.51,เมืองนครปฐม,ไร่,ตัน,150,ครัวเรือน,บาท_ตัน,16430,2526.32
1066.75,7,ล้านบาท,กล้วยไม้ตัดดอก,2568,6.75,เมืองนครปฐม,ไร่,ตัน,45,ครัวเรือน,บาท_ตัน,45200,1493.45
39,8,ล้านบาท,ขมิ้นชัน,2568,1.95,เมืองนครปฐม,ไร่,ตัน,15,ครัวเรือน,บาท_ตัน,20000,97.5
0,9,ล้านบาท,บัวบก,2568,0,เมืองนครปฐม,ไร่,ตัน,0,ครัวเรือน,บาท_ตัน,0,0
22378,10,ล้านบาท,ข้าว,2568,121.55,กำแพงแสน,ไร่,ตัน,1944,ครัวเรือน,บาท_ตัน,6790,17902
102630,11,ล้านบาท,อ้อยโรงงาน,2568,1793.03,กำแพงแสน,ไร่,ตัน,2161,ครัวเรือน,บาท_ตัน,1380,1299296
22.5,12,ล้านบาท,ส้มโอ,2568,1.87,กำแพงแสน,ไร่,ตัน,21,ครัวเรือน,บาท_ตัน,64460,29
112,13,ล้านบาท,ฝรั่ง,2568,8.66,กำแพงแสน,ไร่,ตัน,42,ครัวเรือน,บาท_ตัน,29190,296.8
253.5,14,ล้านบาท,มะพร้าวอ่อน,2568,51.56,กำแพงแสน,ไร่,ตัน,103,ครัวเรือน,บาท_ตัน,19670,2621.19
448,15,ล้านบาท,คะน้า,2568,9.48,กำแพงแสน,ไร่,ตัน,40,ครัวเรือน,บาท_ตัน,11380,833.28
