_id,ปี,จำนวนโรงงาน,อำเภอ
1,2566,136,เมืองลพบุรี
2,2566,5,โคกเจริญ
3,2566,63,โคกสำโรง
4,2566,112,ชัยบาดาล
5,2566,33,ท่าวุ้ง
6,2566,15,ท่าหลวง
7,2566,37,บ้านหมี่
8,2566,156,พัฒนานิคม
9,2566,7,ลำสนธิ
10,2566,14,สระโบสถ์
11,2566,43,หนองม่วง
12,2567,136,เมืองลพบุรี
13,2567,5,โคกเจริญ
14,2567,63,โคกสำโรง
15,2567,112,ชัยบาดาล
16,2567,33,ท่าวุ้ง
17,2567,15,ท่าหลวง
18,2567,37,บ้านหมี่
19,2567,156,พัฒนานิคม
20,2567,7,ลำสนธิ
21,2567,14,สระโบสถ์
22,2567,43,หนองม่วง
23,2568,134,เมืองลพบุรี
24,2568,5,โคกเจริญ
25,2568,64,โคกสำโรง
26,2568,110,ชัยบาดาล
27,2568,34,ท่าวุ้ง
28,2568,15,ท่าหลวง
29,2568,33,บ้านหมี่
30,2568,156,พัฒนานิคม
31,2568,6,ลำสนธิ
32,2568,14,สระโบสถ์
33,2568,40,หนองม่วง
