ประเภท,ที่มา,จำนวนรถจดทะเบียน,_id,ปี,ข้อมูล,หน่วย
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,1,2557,445,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,2,2557,353,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,3,2557,466,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,4,2557,"1,580",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,5,2558,489,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,6,2558,285,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,7,2558,439,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,8,2558,558,คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,9,2559,494,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,10,2559,238,คัน
รถสามล้อรับจ้าง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,11,2559,401,คัน
รถประจำทาง,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,12,2559,"1,485",คัน
รถแท็กซี่,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,13,2560,503,คัน
รถจักรยานยนต์สาธารณะ,สำนักงานขนส่งจังหวัดอุบลราชธานี,จำนวนรถจดทะเบียน,14,2560,217,คัน
